LoggerID,date,pre_post,time_in,time_out,cond_HL,cond_uS,EC_SC,temp_C,notes
CT_335,5/21/24,pre,15:36,15:38,H,,SP,28.421,missing cond
CT_350,5/21/24,pre,15:36,15:38,H,,SP,28.421,missing cond
CT_335,5/24/24,post,16:29,16:31,H,54244,SP,28.439,
CT_350,5/24/24,post,16:29,16:31,H,54244,SP,28.439,
CT_335,5/27/24,pre,9:04,9:04,H,55027,SP,28.105,
CT_350,5/27/24,pre,9:04,9:04,H,55027,SP,28.105,
CT_335,5/31/24,post,16:26,16:26,H,55055,SP,28.082,
CT_350,5/31/24,post,16:26,16:26,H,55055,SP,28.082,
CT_335,6/3/24,pre,15:48,15:48,H,54567,SP,28,
CT_350,6/3/24,pre,15:48,15:48,H,54567,SP,28,
CT_335,6/7/24,post,17:22,17:22,H,54669,SP,28.2,
CT_350,6/7/24,post,17:22,17:22,H,54669,SP,28.2,
CT_335,6/10/24,pre,13:38,13:38,H,54653,SP,27.3,
CT_350,6/10/24,pre,13:38,13:38,H,54653,SP,27.3,
CT_335,6/15/24,post,11:05,11:08,H,54695,SP,28.3,
CT_350,6/15/24,post,11:05,11:08,H,54695,SP,28.3,
CT_335,6/17/24,pre,12:04,12:04,H,54606,SP,27.7,
CT_350,6/17/24,pre,12:04,12:04,H,54606,SP,27.7,
CT_335,6/21/24,post,15:58,15:58,H,55774,SP,27.8,
CT_350,6/21/24,post,15:58,15:58,H,55774,SP,27.8,
