#,Date-Time (French Polynesia Standard Time),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,10/25/2023 08:29:00,30.93,14.89,,,,
2,10/25/2023 08:30:00,30.71,24.56,,,,
3,10/25/2023 08:31:00,30.37,24.77,,,,
4,10/25/2023 08:32:00,30.07,0.00,,,,
5,10/25/2023 08:33:00,29.86,0.00,,,,
6,10/25/2023 08:34:00,29.68,0.00,,,,
7,10/25/2023 08:35:00,29.60,0.00,,,,
8,10/25/2023 08:36:00,29.47,0.83,,,,
9,10/25/2023 08:37:00,29.43,0.62,,,,
10,10/25/2023 08:38:00,29.30,0.00,,,,
11,10/25/2023 08:39:00,29.26,0.00,,,,
12,10/25/2023 08:40:00,29.21,0.00,,,,
13,10/25/2023 08:41:00,29.08,0.00,,,,
14,10/25/2023 08:42:00,29.04,0.00,,,,
15,10/25/2023 08:43:00,29.00,0.00,,,,
16,10/25/2023 08:44:00,28.95,0.00,,,,
17,10/25/2023 08:45:00,28.87,0.00,,,,
18,10/25/2023 08:46:00,28.74,0.00,,,,
19,10/25/2023 08:47:00,28.57,0.00,,,,
20,10/25/2023 08:48:00,28.44,0.00,,,,
21,10/25/2023 08:49:00,28.23,0.00,,,,
22,10/25/2023 08:50:00,28.10,0.00,,,,
23,10/25/2023 08:51:00,27.93,0.00,,,,
24,10/25/2023 08:52:00,27.75,0.00,,,,
25,10/25/2023 08:53:00,27.54,0.00,,,,
26,10/25/2023 08:54:00,27.50,0.00,,,,
27,10/25/2023 08:55:00,27.32,0.00,,,,
28,10/25/2023 08:56:00,27.15,0.00,,,,
29,10/25/2023 08:57:00,27.02,0.00,,,,
30,10/25/2023 08:58:00,26.90,0.00,,,,
31,10/25/2023 08:59:00,26.77,0.00,,,,
32,10/25/2023 09:00:00,26.68,0.83,,,,
33,10/25/2023 09:01:00,26.60,0.62,,,,
34,10/25/2023 09:02:00,26.60,0.41,,,,
35,10/25/2023 09:03:00,26.68,0.20,,,,
36,10/25/2023 09:04:00,26.64,0.00,,,,
37,10/25/2023 09:05:00,26.72,0.20,,,,
38,10/25/2023 09:06:00,26.68,0.20,,,,
39,10/25/2023 09:07:00,26.68,0.41,,,,
40,10/25/2023 09:08:00,26.68,0.20,,,,
41,10/25/2023 09:09:00,26.68,0.20,,,,
42,10/25/2023 09:10:00,26.68,1245.12,,,,
43,10/25/2023 09:11:00,27.02,3164.16,,,,
44,10/25/2023 09:12:00,27.20,3151.36,,,,
45,10/25/2023 09:13:00,27.28,2416.64,,,,
46,10/25/2023 09:14:00,27.37,2961.92,,,,
47,10/25/2023 09:15:00,27.45,2839.04,,,,
48,10/25/2023 09:16:00,27.50,2711.04,,,,
49,10/25/2023 09:17:00,27.50,2604.16,,,,
50,10/25/2023 09:18:00,27.50,2545.28,,,,
51,10/25/2023 09:19:00,27.58,2508.80,,,,
52,10/25/2023 09:20:00,27.54,302.08,,,,
53,10/25/2023 09:21:00,27.54,267.60,,,,
54,10/25/2023 09:22:00,27.50,336.48,,,,
55,10/25/2023 09:23:00,27.45,332.32,,,,
56,10/25/2023 09:24:00,27.45,325.76,,,,
57,10/25/2023 09:25:00,27.41,309.84,,,,
58,10/25/2023 09:26:00,27.41,321.52,,,,
59,10/25/2023 09:27:00,27.41,325.76,,,,
60,10/25/2023 09:28:00,27.41,297.92,,,,
61,10/25/2023 09:29:00,27.32,287.04,,,,
62,10/25/2023 09:30:00,27.37,295.44,,,,
63,10/25/2023 09:31:00,27.28,293.76,,,,
64,10/25/2023 09:32:00,27.32,340.16,,,,
65,10/25/2023 09:33:00,27.28,362.88,,,,
66,10/25/2023 09:34:00,27.32,370.40,,,,
67,10/25/2023 09:35:00,27.32,377.12,,,,
68,10/25/2023 09:36:00,27.32,377.12,,,,
69,10/25/2023 09:37:00,27.32,379.68,,,,
70,10/25/2023 09:38:00,27.28,373.76,,,,
71,10/25/2023 09:39:00,27.28,367.84,,,,
72,10/25/2023 09:40:00,27.28,366.24,,,,
73,10/25/2023 09:41:00,27.28,350.08,,,,
74,10/25/2023 09:42:00,27.28,272.64,,,,
75,10/25/2023 09:43:00,27.28,275.92,,,,
76,10/25/2023 09:44:00,27.28,265.12,,,,
77,10/25/2023 09:45:00,27.28,283.52,,,,
78,10/25/2023 09:46:00,27.28,288.72,,,,
79,10/25/2023 09:47:00,27.28,244.80,,,,
80,10/25/2023 09:48:00,27.24,222.24,,,,
81,10/25/2023 09:49:00,27.32,230.56,,,,
82,10/25/2023 09:50:00,27.28,236.48,,,,
83,10/25/2023 09:51:00,27.28,254.88,,,,
84,10/25/2023 09:52:00,27.28,238.32,,,,
85,10/25/2023 09:53:00,27.28,215.52,,,,
86,10/25/2023 09:54:00,27.28,265.92,,,,
87,10/25/2023 09:55:00,27.28,214.72,,,,
88,10/25/2023 09:56:00,27.32,228.88,,,,
89,10/25/2023 09:57:00,27.32,217.20,,,,
90,10/25/2023 09:58:00,27.32,221.36,,,,
91,10/25/2023 09:59:00,27.32,304.64,,,,
92,10/25/2023 10:00:00,27.28,208.00,,,,
93,10/25/2023 10:01:00,27.32,225.60,,,,
94,10/25/2023 10:02:00,27.28,242.48,,,,
95,10/25/2023 10:03:00,27.24,260.88,,,,
96,10/25/2023 10:04:00,27.24,251.68,,,,
97,10/25/2023 10:05:00,27.20,253.36,,,,
98,10/25/2023 10:06:00,27.24,249.20,,,,
99,10/25/2023 10:07:00,27.20,250.00,,,,
100,10/25/2023 10:08:00,27.20,238.32,,,,
101,10/25/2023 10:09:00,27.20,187.76,,,,
102,10/25/2023 10:10:00,27.20,225.60,,,,
103,10/25/2023 10:11:00,27.15,255.04,,,,
104,10/25/2023 10:12:00,27.20,227.28,,,,
105,10/25/2023 10:13:00,27.20,202.16,,,,
106,10/25/2023 10:14:00,27.15,216.40,,,,
107,10/25/2023 10:15:00,27.15,184.40,,,,
108,10/25/2023 10:16:00,27.15,188.56,,,,
109,10/25/2023 10:17:00,27.07,216.40,,,,
110,10/25/2023 10:18:00,27.11,182.48,,,,
111,10/25/2023 10:19:00,27.11,31.52,,,,
112,10/25/2023 10:20:00,27.54,770.56,,,,
113,10/25/2023 10:21:00,27.54,801.92,,,,
114,10/25/2023 10:22:00,27.45,943.36,,,,
115,10/25/2023 10:23:00,27.50,938.24,,,,
116,10/25/2023 10:24:00,27.54,566.08,,,,
117,10/25/2023 10:25:00,27.58,546.88,,,,
118,10/25/2023 10:26:00,27.54,526.88,,,,
119,10/25/2023 10:27:00,27.50,489.60,,,,
120,10/25/2023 10:28:00,27.45,799.36,,,,
