Plot Title: CT_515,,,,,,,,
#,"Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 21113515, SEN S/N: 21113515)","Temp, °C (LGR S/N: 21113515, SEN S/N: 21113515)",Coupler Detached (LGR S/N: 21113515),Coupler Attached (LGR S/N: 21113515),Host Connected (LGR S/N: 21113515),Stopped (LGR S/N: 21113515),End Of File (LGR S/N: 21113515)
1,10/25/2023 8:30:00,0,28.6,Logged,,,,
2,10/25/2023 8:31:00,0,28.6,,,,,
3,10/25/2023 8:32:00,0,28.6,,,,,
4,10/25/2023 8:33:00,0,28.62,,,,,
5,10/25/2023 8:34:00,0,28.62,,,,,
6,10/25/2023 8:35:00,0,28.62,,,,,
7,10/25/2023 8:36:00,0,28.62,,,,,
8,10/25/2023 8:37:00,0,28.62,,,,,
9,10/25/2023 8:38:00,39486,26.89,,,,,
10,10/25/2023 8:39:00,39486,26.89,,,,,
11,10/25/2023 8:40:00,39486,26.89,,,,,
12,10/25/2023 8:41:00,39486,26.89,,,,,
13,10/25/2023 8:42:00,39486,26.89,,,,,
14,10/25/2023 8:43:00,0,28.63,,,,,
15,10/25/2023 8:44:00,0,28.62,,,,,
16,10/25/2023 8:45:00,0,28.6,,,,,
17,10/25/2023 8:46:00,0,28.58,,,,,
18,10/25/2023 8:47:00,0,28.55,,,,,
19,10/25/2023 8:48:00,0,28.51,,,,,
20,10/25/2023 8:49:00,0,28.47,,,,,
21,10/25/2023 8:50:00,0,28.44,,,,,
22,10/25/2023 8:51:00,0,28.4,,,,,
23,10/25/2023 8:52:00,0,28.35,,,,,
24,10/25/2023 8:53:00,0,28.31,,,,,
25,10/25/2023 8:54:00,0,28.26,,,,,
26,10/25/2023 8:55:00,0,28.22,,,,,
27,10/25/2023 8:56:00,0,28.15,,,,,
28,10/25/2023 8:57:00,0,28.11,,,,,
29,10/25/2023 8:58:00,0,28.06,,,,,
30,10/25/2023 8:59:00,0,28.02,,,,,
31,10/25/2023 9:00:00,0,28,,,,,
32,10/25/2023 9:01:00,0,27.97,,,,,
33,10/25/2023 9:02:00,0,27.96,,,,,
34,10/25/2023 9:03:00,0,27.95,,,,,
35,10/25/2023 9:04:00,0,27.95,,,,,
36,10/25/2023 9:05:00,0,27.93,,,,,
37,10/25/2023 9:06:00,0,27.92,,,,,
38,10/25/2023 9:07:00,0,27.92,,,,,
39,10/25/2023 9:08:00,0,27.92,,,,,
40,10/25/2023 9:09:00,0,27.91,,,,,
41,10/25/2023 9:10:00,0,27.92,,,,,
42,10/25/2023 9:11:00,0,27.98,,,,,
43,10/25/2023 9:12:00,43348.1,27.1,,,,,
44,10/25/2023 9:13:00,42050.1,27.12,,,,,
45,10/25/2023 9:14:00,30518.1,27.08,,,,,
46,10/25/2023 9:15:00,36669.7,27.08,,,,,
47,10/25/2023 9:16:00,41430.3,27.07,,,,,
48,10/25/2023 9:17:00,37178.5,27.08,,,,,
49,10/25/2023 9:18:00,41183.8,27.07,,,,,
50,10/25/2023 9:19:00,40975.3,27.08,,,,,
51,10/25/2023 9:20:00,40849.1,27.08,,,,,
52,10/25/2023 9:21:00,40702.4,27.08,,,,,
53,10/25/2023 9:22:00,40681.5,27.07,,,,,
54,10/25/2023 9:23:00,40586.2,27.06,,,,,
55,10/25/2023 9:24:00,40503,27.1,,,,,
56,10/25/2023 9:25:00,40461.4,27.12,,,,,
57,10/25/2023 9:26:00,40461.4,27.13,,,,,
58,10/25/2023 9:27:00,40414,27.13,,,,,
59,10/25/2023 9:28:00,40411.1,27.12,,,,,
60,10/25/2023 9:29:00,2667.3,27.03,,,,,
61,10/25/2023 9:30:00,2385.9,26.94,,,,,
62,10/25/2023 9:31:00,2165.2,26.85,,,,,
63,10/25/2023 9:32:00,2009.3,26.79,,,,,
64,10/25/2023 9:33:00,1906.2,26.75,,,,,
65,10/25/2023 9:34:00,1821,26.72,,,,,
66,10/25/2023 9:35:00,1741.8,26.7,,,,,
67,10/25/2023 9:36:00,1678.9,26.63,,,,,
68,10/25/2023 9:37:00,1623.7,26.56,,,,,
69,10/25/2023 9:38:00,1573.7,26.53,,,,,
