#,Date-Time (French Polynesia Standard Time),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,10/25/2023 08:29:00,28.53,4.51,,,,
2,10/25/2023 08:30:00,28.87,7.11,,,,
3,10/25/2023 08:31:00,28.91,6.90,,,,
4,10/25/2023 08:32:00,28.83,0.00,,,,
5,10/25/2023 08:33:00,28.83,0.00,,,,
6,10/25/2023 08:34:00,28.83,0.00,,,,
7,10/25/2023 08:35:00,28.83,0.00,,,,
8,10/25/2023 08:36:00,28.78,0.00,,,,
9,10/25/2023 08:37:00,28.70,0.00,,,,
10,10/25/2023 08:38:00,28.70,0.00,,,,
11,10/25/2023 08:39:00,28.65,0.00,,,,
12,10/25/2023 08:40:00,28.65,0.00,,,,
13,10/25/2023 08:41:00,28.61,0.00,,,,
14,10/25/2023 08:42:00,28.61,0.00,,,,
15,10/25/2023 08:43:00,28.53,0.00,,,,
16,10/25/2023 08:44:00,28.57,0.00,,,,
17,10/25/2023 08:45:00,28.53,0.00,,,,
18,10/25/2023 08:46:00,28.48,0.00,,,,
19,10/25/2023 08:47:00,28.48,0.00,,,,
20,10/25/2023 08:48:00,28.40,0.00,,,,
21,10/25/2023 08:49:00,28.31,0.00,,,,
22,10/25/2023 08:50:00,28.18,0.00,,,,
23,10/25/2023 08:51:00,28.14,0.00,,,,
24,10/25/2023 08:52:00,28.01,0.00,,,,
25,10/25/2023 08:53:00,27.93,0.00,,,,
26,10/25/2023 08:54:00,27.84,0.00,,,,
27,10/25/2023 08:55:00,27.71,0.00,,,,
28,10/25/2023 08:56:00,27.63,0.00,,,,
29,10/25/2023 08:57:00,27.54,0.00,,,,
30,10/25/2023 08:58:00,27.45,0.00,,,,
31,10/25/2023 08:59:00,27.37,0.00,,,,
32,10/25/2023 09:00:00,27.28,0.00,,,,
33,10/25/2023 09:01:00,27.20,0.00,,,,
34,10/25/2023 09:02:00,27.15,0.00,,,,
35,10/25/2023 09:03:00,27.11,0.00,,,,
36,10/25/2023 09:04:00,27.11,0.00,,,,
37,10/25/2023 09:05:00,27.11,0.00,,,,
38,10/25/2023 09:06:00,27.07,0.00,,,,
39,10/25/2023 09:07:00,27.02,0.00,,,,
40,10/25/2023 09:08:00,27.02,0.00,,,,
41,10/25/2023 09:09:00,26.98,0.00,,,,
42,10/25/2023 09:10:00,26.98,304.64,,,,
43,10/25/2023 09:11:00,27.24,2828.80,,,,
44,10/25/2023 09:12:00,27.28,2804.48,,,,
45,10/25/2023 09:13:00,27.37,2558.72,,,,
46,10/25/2023 09:14:00,27.41,2635.52,,,,
47,10/25/2023 09:15:00,27.41,2535.04,,,,
48,10/25/2023 09:16:00,27.41,2437.12,,,,
49,10/25/2023 09:17:00,27.45,2342.40,,,,
50,10/25/2023 09:18:00,27.45,2285.44,,,,
51,10/25/2023 09:19:00,27.45,2241.28,,,,
52,10/25/2023 09:20:00,27.45,294.32,,,,
53,10/25/2023 09:21:00,27.41,274.32,,,,
54,10/25/2023 09:22:00,27.41,390.88,,,,
55,10/25/2023 09:23:00,27.37,364.32,,,,
56,10/25/2023 09:24:00,27.37,384.96,,,,
57,10/25/2023 09:25:00,27.32,320.96,,,,
58,10/25/2023 09:26:00,27.32,381.44,,,,
59,10/25/2023 09:27:00,27.28,380.64,,,,
60,10/25/2023 09:28:00,27.32,317.52,,,,
61,10/25/2023 09:29:00,27.28,323.52,,,,
62,10/25/2023 09:30:00,27.24,332.32,,,,
63,10/25/2023 09:31:00,27.20,342.56,,,,
64,10/25/2023 09:32:00,27.24,403.20,,,,
