Plot Title: CT_327,,,,,,,,
#,"Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739327, SEN S/N: 20739327)","Temp, °C (LGR S/N: 20739327, SEN S/N: 20739327)",Coupler Detached (LGR S/N: 20739327),Coupler Attached (LGR S/N: 20739327),Host Connected (LGR S/N: 20739327),Stopped (LGR S/N: 20739327),End Of File (LGR S/N: 20739327)
1,10/25/2023 8:30:00,0,28.01,Logged,,,,
2,10/25/2023 8:31:00,0,28.01,,,,,
3,10/25/2023 8:32:00,0,28.02,,,,,
4,10/25/2023 8:33:00,0,28.02,,,,,
5,10/25/2023 8:34:00,0,28.04,,,,,
6,10/25/2023 8:35:00,0,28.04,,,,,
7,10/25/2023 8:36:00,0,28.05,,,,,
8,10/25/2023 8:37:00,0,28.05,,,,,
9,10/25/2023 8:38:00,0,28.05,,,,,
10,10/25/2023 8:39:00,31347.6,25.52,,,,,
11,10/25/2023 8:40:00,31347.6,25.52,,,,,
12,10/25/2023 8:41:00,31347.6,25.52,,,,,
13,10/25/2023 8:42:00,31347.6,25.52,,,,,
14,10/25/2023 8:43:00,0,28.09,,,,,
15,10/25/2023 8:44:00,0,28.09,,,,,
16,10/25/2023 8:45:00,0,28.09,,,,,
17,10/25/2023 8:46:00,0,28.09,,,,,
18,10/25/2023 8:47:00,0,28.06,,,,,
19,10/25/2023 8:48:00,0,28.05,,,,,
20,10/25/2023 8:49:00,0,28.02,,,,,
21,10/25/2023 8:50:00,0,28,,,,,
22,10/25/2023 8:51:00,0,27.98,,,,,
23,10/25/2023 8:52:00,0,27.94,,,,,
24,10/25/2023 8:53:00,0,27.91,,,,,
25,10/25/2023 8:54:00,0,27.88,,,,,
26,10/25/2023 8:55:00,0,27.84,,,,,
27,10/25/2023 8:56:00,0,27.82,,,,,
28,10/25/2023 8:57:00,0,27.78,,,,,
29,10/25/2023 8:58:00,0,27.74,,,,,
30,10/25/2023 8:59:00,0,27.7,,,,,
31,10/25/2023 9:00:00,0,27.67,,,,,
32,10/25/2023 9:01:00,0,27.63,,,,,
33,10/25/2023 9:02:00,0,27.61,,,,,
34,10/25/2023 9:03:00,0,27.58,,,,,
35,10/25/2023 9:04:00,0,27.56,,,,,
36,10/25/2023 9:05:00,0,27.54,,,,,
37,10/25/2023 9:06:00,0,27.53,,,,,
38,10/25/2023 9:07:00,0,27.51,,,,,
39,10/25/2023 9:08:00,0,27.49,,,,,
40,10/25/2023 9:09:00,0,27.47,,,,,
41,10/25/2023 9:10:00,0,27.46,,,,,
42,10/25/2023 9:11:00,0,27.51,,,,,
43,10/25/2023 9:12:00,39375.8,26.61,,,,,
44,10/25/2023 9:13:00,37811.2,26.59,,,,,
45,10/25/2023 9:14:00,36424.8,26.57,,,,,
46,10/25/2023 9:15:00,35554.9,26.57,,,,,
47,10/25/2023 9:16:00,35057.5,26.57,,,,,
48,10/25/2023 9:17:00,34800.4,26.57,,,,,
49,10/25/2023 9:18:00,34565.2,26.53,,,,,
50,10/25/2023 9:19:00,34216,26.53,,,,,
51,10/25/2023 9:20:00,33880.5,26.55,,,,,
52,10/25/2023 9:21:00,33596.7,26.55,,,,,
53,10/25/2023 9:22:00,33421.5,26.53,,,,,
54,10/25/2023 9:23:00,33213.6,26.55,,,,,
55,10/25/2023 9:24:00,33134.5,26.59,,,,,
56,10/25/2023 9:25:00,33028.5,26.64,,,,,
57,10/25/2023 9:26:00,32953.6,26.68,,,,,
58,10/25/2023 9:27:00,32872.3,26.64,,,,,
59,10/25/2023 9:28:00,32821.7,26.64,,,,,
60,10/25/2023 9:29:00,193.2,26.43,,,,,
61,10/25/2023 9:30:00,187.8,26.29,,,,,
62,10/25/2023 9:31:00,188.6,26.13,,,,,
63,10/25/2023 9:32:00,186.1,26.09,,,,,
64,10/25/2023 9:33:00,187.8,26.06,,,,,
65,10/25/2023 9:34:00,190.7,26.06,,,,,
66,10/25/2023 9:35:00,193.6,26.04,,,,,
67,10/25/2023 9:36:00,196.1,25.9,,,,,
68,10/25/2023 9:37:00,197.8,25.74,,,,,
69,10/25/2023 9:38:00,199.5,25.73,,,,,
70,10/25/2023 9:39:00,201.2,25.68,,,,,
71,10/25/2023 9:40:00,202.9,25.61,,,,,
72,10/25/2023 9:41:00,202.9,25.58,,,,,
73,10/25/2023 9:42:00,202.9,25.6,,,,,
74,10/25/2023 9:43:00,205.8,25.6,,,,,
75,10/25/2023 9:44:00,197.8,25.58,,,,,
76,10/25/2023 9:45:00,213.9,25.48,,,,,
77,10/25/2023 9:46:00,201.2,25.63,,,,,
78,10/25/2023 9:47:00,196.6,25.72,,,,,
79,10/25/2023 9:48:00,207.5,25.95,,,,,
80,10/25/2023 9:49:00,216.4,26.37,,,,,
81,10/25/2023 9:50:00,202.9,26.45,,,,,
82,10/25/2023 9:51:00,203.7,26.71,,,,,
83,10/25/2023 9:52:00,204.1,26.79,,,,,
84,10/25/2023 9:53:00,213,26.66,,,,,
85,10/25/2023 9:54:00,211.7,26.82,,,,,
86,10/25/2023 9:55:00,211.7,26.93,,,,,
87,10/25/2023 9:56:00,209.6,26.88,,,,,
88,10/25/2023 9:57:00,200.3,26.88,,,,,
89,10/25/2023 9:58:00,193.2,26.9,,,,,
90,10/25/2023 9:59:00,186.9,26.85,,,,,
91,10/25/2023 10:00:00,171.1,26.75,,,,,
92,10/25/2023 10:01:00,157.9,26.74,,,,,
93,10/25/2023 10:02:00,152.1,26.78,,,,,
94,10/25/2023 10:03:00,149.2,26.78,,,,,
95,10/25/2023 10:04:00,148.4,26.77,,,,,
96,10/25/2023 10:05:00,143.9,26.72,,,,,
97,10/25/2023 10:06:00,142.7,26.73,,,,,
98,10/25/2023 10:07:00,142.3,26.74,,,,,
99,10/25/2023 10:08:00,142.7,26.73,,,,,
100,10/25/2023 10:09:00,144.3,26.9,,,,,
101,10/25/2023 10:10:00,142.7,27.04,,,,,
102,10/25/2023 10:11:00,143.5,27.12,,,,,
103,10/25/2023 10:12:00,141,27.08,,,,,
104,10/25/2023 10:13:00,137.4,27.06,,,,,
105,10/25/2023 10:14:00,131.3,26.89,,,,,
106,10/25/2023 10:15:00,117.9,26.88,,,,,
107,10/25/2023 10:16:00,114.3,26.88,,,,,
108,10/25/2023 10:17:00,115.9,26.85,,,,,
109,10/25/2023 10:18:00,117.9,26.85,,,,,
110,10/25/2023 10:19:00,118.4,26.85,,,,,
111,10/25/2023 10:20:00,118.8,26.83,,,,,
112,10/25/2023 10:21:00,119.2,26.84,,,,,
113,10/25/2023 10:22:00,120,26.84,,,,,
114,10/25/2023 10:23:00,115.9,27.01,,,,,
115,10/25/2023 10:24:00,113.1,27.22,,,,,
116,10/25/2023 10:25:00,111.9,27.54,,,,,
117,10/25/2023 10:26:00,107.5,27.85,,,,,
118,10/25/2023 10:27:00,99.1,27.94,,,,,
119,10/25/2023 10:28:00,98.7,28.05,,,,,
120,10/25/2023 10:29:00,101.1,28.1,,,,,
121,10/25/2023 10:30:00,99.9,28.06,,,,,
122,10/25/2023 10:31:00,98.7,28.05,,,,,
123,10/25/2023 10:32:00,97.1,28.02,,,,,
124,10/25/2023 10:33:00,88,27.84,,,,,
125,10/25/2023 10:34:00,84.5,27.84,,,,,
126,10/25/2023 10:35:00,82.9,27.83,,,,,
127,10/25/2023 10:36:00,83.3,27.79,,,,,
128,10/25/2023 10:37:00,82.5,27.75,,,,,
129,10/25/2023 10:38:00,82.5,27.68,,,,,
130,10/25/2023 10:39:00,82.5,27.64,,,,,
131,10/25/2023 10:40:00,82.9,27.64,,,,,
132,10/25/2023 10:41:00,80.9,27.58,,,,,
133,10/25/2023 10:42:00,80.2,27.56,,,,,
134,10/25/2023 10:43:00,80.2,27.53,,,,,
135,10/25/2023 10:44:00,79.8,27.49,,,,,
136,10/25/2023 10:45:00,80.5,27.48,,,,,
137,10/25/2023 10:46:00,79.8,27.45,,,,,
138,10/25/2023 10:47:00,79.8,27.45,,,,,
139,10/25/2023 10:48:00,79.8,27.42,,,,,
140,10/25/2023 10:49:00,79,27.38,,,,,
141,10/25/2023 10:50:00,79.4,27.41,,,,,
142,10/25/2023 10:51:00,79,27.4,,,,,
143,10/25/2023 10:52:00,77.4,27.33,,,,,
144,10/25/2023 10:53:00,76.6,27.32,,,,,
145,10/25/2023 10:54:00,76.6,27.31,,,,,
146,10/25/2023 10:55:00,77,27.3,,,,,
147,10/25/2023 10:56:00,77.4,27.27,,,,,
148,10/25/2023 10:57:00,77.4,27.26,,,,,
149,10/25/2023 10:58:00,77.8,27.25,,,,,
150,10/25/2023 10:59:00,77.4,27.24,,,,,
151,10/25/2023 11:00:00,76.2,27.2,,,,,
152,10/25/2023 11:01:00,74.3,27.19,,,,,
153,10/25/2023 11:02:00,75.1,27.2,,,,,
154,10/25/2023 11:03:00,75.4,27.2,,,,,
155,10/25/2023 11:04:00,75.4,27.17,,,,,
156,10/25/2023 11:05:00,73.5,27.16,,,,,
157,10/25/2023 11:06:00,73.1,27.15,,,,,
158,10/25/2023 11:07:00,73.1,27.16,,,,,
159,10/25/2023 11:08:00,73.5,27.16,,,,,
160,10/25/2023 11:09:00,73.9,27.16,,,,,
161,10/25/2023 11:10:00,73.5,27.15,,,,,
162,10/25/2023 11:11:00,73.1,27.14,,,,,
163,10/25/2023 11:12:00,72.3,27.12,,,,,
164,10/25/2023 11:13:00,72.7,27.12,,,,,
165,10/25/2023 11:14:00,72.7,27.12,,,,,
166,10/25/2023 11:15:00,73.9,27.11,,,,,
167,10/25/2023 11:16:00,73.9,27.1,,,,,
168,10/25/2023 11:17:00,74.7,27.1,,,,,
169,10/25/2023 11:18:00,75.1,27.08,,,,,
170,10/25/2023 11:19:00,75.4,27.05,,,,,
