Site,CowTagID,Depth_logger,Time_of_Depth,Lat,Long,Notes,del15N,del13C,N_percent,C_percent
La Source,1,8.5344,10/30/2023 6:00,-17.6339797,-149.619738,maybe,4.8,-12.3,0.58954688,22.27429047
La Source,2,7.3152,10/30/2023 6:00,,,,4.7,-13.4,0.572967003,23.28800221
La Source,3,8.8392,10/30/2023 6:00,,,,4.8,-12.4,0.691932141,25.03600155
La Source,4,8.5344,10/30/2023 6:00,,,,5.1,-12.8,0.586662706,24.72894698
La Source,5,7.3152,10/30/2023 6:00,,,,4.0,-13.1,0.990767845,22.79891916
La Source,6,6.4008,10/30/2023 6:00,,,,4.6,-12.6,0.745919066,23.86941011
La Source,7,4.8768,10/30/2023 6:00,,,,4.9,-11.9,0.658023579,25.74517254
La Source,8,3.6576,10/30/2023 6:00,,,,4.6,-10.9,0.59679655,24.61496997
La Source,9,3.9624,10/30/2023 6:00,,,,4.4,-12.2,0.628004342,22.2204993
La Source,10,2.1336,10/30/2023 6:00,,,,4.7,-12.5,0.749690952,26.12752722
La Source,11,2.1336,10/30/2023 6:00,,,,4.5,-11.8,0.777432252,24.50392418
La Source,12,2.1336,10/30/2023 6:00,,,,4.7,-12.0,0.739052355,24.5821246
Nordhoff,13,9.8,11/3/2023 10:38,-17.6141467,-149.62045,,4.9,-13.0,0.626353232,23.73956078
Nordhoff,14,9.88,11/3/2023 10:38,,,,5.1,-13.3,0.566712308,23.88178914
Nordhoff,15,9.9,11/3/2023 10:38,,,,5.3,-12.6,0.606528452,25.88957506
Nordhoff,16,6.5,11/3/2023 10:38,,,,5.4,-13.4,0.655954044,23.6919733
Nordhoff,17,5.7,11/3/2023 10:38,,,,5.1,-13.5,0.547602284,26.38269577
Nordhoff,18,6.3,11/3/2023 10:38,,,,5.4,-14.2,0.642908167,23.54155092
Nordhoff,19,4.5,11/3/2023 10:38,,,,4.8,-13.3,0.56101496,24.16764447
Nordhoff,20,3.9,11/3/2023 10:38,,,,4.8,-13.1,0.538513702,27.19294746
Nordhoff,21,4.2,11/3/2023 10:38,,,,4.5,-13.8,0.51143526,23.67008824
Nordhoff,22,3.8,11/3/2023 10:38,,,,5.1,-13.2,0.502413942,23.92353888
Nordhoff,23,3.8,11/3/2023 10:38,,,,4.7,-13.5,0.530980362,24.66325694
Nordhoff,24,3.9,11/3/2023 10:38,,,,4.7,-13.7,0.683495146,25.66990291
Lagoon,41,0.3048,10/29/2023 5:42,-17.63639,-149.61369,,7.8,-9.1,1.112695019,25.87708878
Lagoon,42,0.6096,10/29/2023 5:42,-17.63787,-149.61462,,3.5,-9.8,0.631660531,26.23522573
Lagoon,43,0.9144,10/29/2023 5:42,-17.63788,-149.61459,,3.7,-8.5,0.800119644,26.01884394
Lagoon,44,1.2192,10/29/2023 5:42,,,,3.4,-9.0,0.727351289,26.64554227
Lagoon,45,0.6096,10/29/2023 5:42,-17.63788,-149.61464,,3.9,-9.3,0.741075123,23.6542151
Lagoon,46,0.6096,10/29/2023 5:42,-17.63787,-149.61458,,3.7,-9.1,0.738139887,23.99553126
Lagoon,47,0.6096,10/29/2023 5:42,-17.63791,-149.61456,,3.8,-8.2,0.763185734,25.45337766
Lagoon,48,0.1524,10/29/2023 5:42,-17.63789,-149.6147,,4.2,-9.0,0.864443084,25.02677479
Lagoon,49,0.6096,10/29/2023 5:42,-17.63793,-149.61469,,3.7,-8.3,0.692643768,24.03296274
Lagoon,50,0.3048,10/29/2023 5:42,-17.63799,-149.61465,,3.8,-8.2,0.696636133,23.89346471
Lagoon,51,0.9144,10/29/2023 5:42,-17.63796,-149.61473,,3.7,-9.5,0.765977819,26.23872975
Lagoon,52,0.6096,10/29/2023 5:42,-17.638,-149.61472,,3.4,-9.1,0.604703247,24.63605823
Lagoon,53,0.6096,10/29/2023 5:42,-17.63802,-149.61467,,4.2,-8.7,0.708841463,24.30640244
