CowTagID,SeepCode,Site,Day_Night,UVHumic,Tyrosine,VisibleHumic,MarineHumic,Tryptophan,Phenylalanine,FulvicAcid,Optical_Brighteners,Lignin,BIX,HIX,FI,MC
1,,LaSource,Dawn,0.007169075,0.017592718,0.007101557,0.009447705,0.016311492,0.003404799,0.003875524,0.005549791,0,0.90477144,1.367745923,1.943046411,0.751670039
1,,LaSource,Dusk,0.003536212,0.010245624,0.002435793,0.004760801,0.006018669,0,0.002235914,0.002886912,0,1.005714183,1.698522674,2.166793687,0.511635023
1,,LaSource,Noon,0.005707616,0.021170965,0.006642329,0.008523782,0.015857484,0.020579229,0.003067633,0.004734448,0.014748421,1.113028574,1.148663983,1.926698403,0.779270177
10,,LaSource,Dawn,0.008275311,0.022895206,0.008002035,0.013845178,0.026080555,0,0.004282011,0.006038642,0,1.173815207,1.109259895,2.082214512,0.577965507
10,,LaSource,Dusk,0.006018607,0.020122715,0.004061758,0.007581499,0.013378074,0,0.002719703,0.00412631,0,0.840192424,1.011752576,1.834897866,0.535745932
10,,LaSource,Noon,0.004846861,0.01287792,0.004145736,0.006591493,0.008310726,0.004678961,0.002539769,0.003509049,0.011630939,1.088245525,1.190952948,2.012415843,0.628952555
11,,LaSource,Dawn,0.006865515,0.015394338,0.006130102,0.011127508,0.015957085,0.022275078,0.003036769,0.004761749,0,1.328010919,1.138741952,1.806299266,0.550896208
11,,LaSource,Dusk,0.005625747,0.016359501,0.004817531,0.007097447,0.011806471,0,0.002467452,0.004471311,0,1.029641064,1.423883932,1.76892514,0.678769581
11,,LaSource,Noon,0.004927715,0.012996281,0.004411582,0.006802143,0.006299376,0.011647333,0.00238887,0.003033316,0.023814541,1.126404504,1.253824049,2.611433569,0.648557635
12,,LaSource,Dawn,0.006837715,0.016766634,0.00671326,0.008870713,0.017144926,0,0.003962699,0.005477963,0,1.162743071,1.24726463,1.675171685,0.756789258
12,,LaSource,Dusk,0.006489342,0.011853194,0.005610754,0.00752078,0.008919952,0,0.003706298,0.00565132,0.00370067,0.836826485,1.846382114,1.753794712,0.746033603
12,,LaSource,Noon,0.006859178,0.026773792,0.006137466,0.008632602,0.020483935,0,0.003734361,0.005145013,0.01994665,1.23267475,0.799345475,1.862479823,0.710963628
