LoggerID,date,pre_post,time_in,depth,notes
100,10/24/2023,pre,11:50,0,
870,10/24/2023,pre,11:50,0,
872,10/25/2023,pre,9:25,0,
872,11/3/2023,pre,8:03,0,profiler
