LoggerID,date,pre_post,time_in,time_out,cond_HL,cond_uS,EC_SC,temp_HL,temp_C,sal_psu
353,10/23/2023,pre,17:56,17:57,H,49.2,SC,H,27.7,32.1
320,10/23/2023,pre,17:56,17:57,H,49.2,SC,H,27.7,32.1
321,10/23/2023,pre,17:56,17:57,H,49.2,SC,H,27.7,32.1
323,10/23/2023,pre,17:56,17:57,H,49.2,SC,H,27.7,32.1
335,10/23/2023,pre,17:56,17:57,H,49.2,SC,H,27.7,32.1
318,10/23/2023,pre,17:56,17:57,H,49.2,SC,H,27.7,32.1
325,10/23/2023,pre,17:56,17:57,H,49.2,SC,H,27.7,32.1
349,10/23/2023,pre,17:56,17:57,H,49.2,SC,H,27.7,32.1
338,10/23/2023,pre,17:56,17:57,H,49.2,SC,H,27.7,32.1
350,10/23/2023,pre,17:56,17:57,H,49.2,SC,H,27.7,32.1
332,10/23/2023,pre,17:56,17:57,H,49.2,SC,H,27.7,32.1
351,10/23/2023,pre,17:56,17:57,H,49.2,SC,H,27.7,32.1
344,10/23/2023,pre,17:56,17:57,H,49.2,SC,H,27.7,32.1
343,10/25/2023,pre,9:24,9:25,H,52.2,SC,H,26.4,34.3
327,10/25/2023,pre,9:24,9:25,H,52.2,SC,H,26.4,34.3
515,10/25/2023,pre,9:24,9:25,H,52.2,SC,H,26.4,34.3
324,10/25/2023,pre,9:24,9:25,H,52.2,SC,H,26.4,34.3
330,10/25/2023,pre,9:24,9:25,H,52.2,SC,H,26.4,34.3
738,10/25/2023,pre,9:24,9:25,H,52.2,SC,H,26.4,34.3
347,10/25/2023,pre,10:10,10:11,H,52.9,SC,H,26.4,34.9
343,11/2/2023,post,16:28,16:29,H,50.4,SC,H,28.7,32.9
327,11/2/2023,post,16:28,16:29,H,50.4,SC,H,28.7,32.9
515,11/2/2023,post,16:28,16:29,H,50.4,SC,H,28.7,32.9
324,11/2/2023,post,16:28,16:29,H,50.4,SC,H,28.7,32.9
330,11/2/2023,post,16:28,16:29,H,50.4,SC,H,28.7,32.9
738,11/2/2023,post,16:28,16:29,H,50.4,SC,H,28.7,32.9
347,11/2/2023,post,16:28,16:29,H,50.4,SC,H,28.7,32.9
353,11/3/2023,post,12:53,12:54,H,51.7,SC,H,28.1,33.9
320,11/3/2023,post,12:53,12:54,H,51.7,SC,H,28.1,33.9
321,11/3/2023,post,12:53,12:54,H,51.7,SC,H,28.1,33.9
323,11/3/2023,post,12:53,12:54,H,51.7,SC,H,28.1,33.9
335,11/3/2023,post,12:53,12:54,H,51.7,SC,H,28.1,33.9
318,11/3/2023,post,12:53,12:54,H,51.7,SC,H,28.1,33.9
325,11/3/2023,post,12:53,12:54,H,51.7,SC,H,28.1,33.9
349,11/3/2023,post,12:53,12:54,H,51.7,SC,H,28.1,33.9
338,11/3/2023,post,12:53,12:54,H,51.7,SC,H,28.1,33.9
350,11/3/2023,post,12:53,12:54,H,51.7,SC,H,28.1,33.9
332,11/3/2023,post,12:53,12:54,H,51.7,SC,H,28.1,33.9
351,11/3/2023,post,12:53,12:54,H,51.7,SC,H,28.1,33.9
344,11/3/2023,post,12:53,12:54,H,51.7,SC,H,28.1,33.9
324,11/3/2023,pre,8:10,8:11,H,55.25,SC,H,27,36.6
