TrisCalDate,TTris,mVTris,HOBO_Orion
20231008,30.93,-74.7,"Putnam Orion, Silbiger Probe"
20231008,30.02,-75.5,"Putnam Orion, Silbiger Probe"
20231008,29.02,-78.2,"Putnam Orion, Silbiger Probe"
20231008,28.09,-79.8,"Putnam Orion, Silbiger Probe"
20231008,28.03,-78.4,"Putnam Orion, Silbiger Probe"
20231008,27.32,-80,"Putnam Orion, Silbiger Probe"
20231008,26.3,-80.8,"Putnam Orion, Silbiger Probe"
20231008,25.11,-82.7,"Putnam Orion, Silbiger Probe"
20231008,25.01,-57.6,Putnam Orion
20231008,26,-55,Putnam Orion
20231008,26.95,-53.5,Putnam Orion
20231008,27.93,-52.3,Putnam Orion
20231008,29.22,-50.8,Putnam Orion
20231008,30.1,-49.5,Putnam Orion
20231008,30.95,-48.4,Putnam Orion
