UniqueID,fDOM_Run,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,dieselBandII,Petroleum,Lignin,BIX,HIX,FI,M_to_C,JP5_empirical,JP5_normalized,Diesel_Chen,sample,run_name
15_Nordhoff_Noon,run2,0.004923376,0.017193683,0.004528698,0.00721433,0.013283211,0.019725132,0.003215125,0.003401473,0.002267732,0.006515207,0.016237255,1.191364994,0.954943975,1.695859522,0.627736554,0.836890814,0.095975883,3.208176417,Group003Sample0001,nyssa_run2
16_Nordhoff_Dawn,run2,0.005508995,0.024009404,0.00479419,0.007507413,0.026156708,0.033352555,0.002557537,0.003786649,0.001241853,0.00622366,0.013128716,1.313174719,0.455473509,1.785389809,0.63859418,1.492958141,0.13869369,4.728178723,Group001Sample0004,nyssa_run2
16_Nordhoff_Dusk,run2,0.007273497,0.019345506,0.006439428,0.011007292,0.017345669,0.006868774,0.004345127,0.006475744,0.002855323,0.015682617,0.01023751,1.000230196,1.609963945,2.100162745,0.58501473,1.119642894,0.086461713,4.197000472,Group004Sample0007,nyssa_run2
16_Nordhoff_Noon,run2,0.005340019,0.020496706,0.004300084,0.011259364,0.020238229,0,0.003578116,0.003408833,0.002587839,0.009994191,0.032864311,1.262935954,0.908582016,2.061450133,0.381911774,1.146049876,0.101513407,4.120700622,Group003Sample0002,nyssa_run2
17_Nordhoff_Dawn,run2,0.006282495,0.024459936,0.006181672,0.008407556,0.020258958,0.009082666,0.004672145,0.004241462,0.003573725,0.018851595,0.019458881,1.245232239,1.654531854,2.27287456,0.73525191,1.213997309,0.097491327,4.18897414,Group001Sample0005,nyssa_run2
17_Nordhoff_Dusk,run2,0.005765519,0.013566377,0.005592042,0.009251894,0.011898421,0.033907664,0.00265758,0.004628201,0.002186138,0.007417764,0,0.859669857,0.997636142,2.553890336,0.604421386,0.80227764,0.083386825,3.295726863,Group005Sample0001,nyssa_run2
17_Nordhoff_Noon,run2,0.004688106,0.014939837,0.003885303,0.005311184,0.010782021,0.004381545,0.002705286,0.003154205,0.002085076,0.006220979,0.011966649,1.466544577,0.967577991,2.052944184,0.731532472,0.771336438,0.102404394,2.807570588,Group003Sample0003,nyssa_run2
18_Nordhoff_Dawn,run2,0.006489548,0.020691911,0.005573814,0.013311831,0.025820751,0.004914572,0.002854214,0.003911484,0.002181969,0.0098894,0.044906362,1.266354043,1.005489803,2.350927302,0.418711278,1.403312727,0.108774371,4.699263205,Group001Sample0006,nyssa_run2
18_Nordhoff_Dusk,run2,0.005810187,0.018225617,0.005884987,0.007129599,0.014538233,0.021555739,0.003392911,0.005454983,0.002337678,0.007895545,0,1.07613186,1.194116701,1.845405567,0.825430327,0.839844359,0.084955932,3.578791769,Group005Sample0002,nyssa_run2
18_Nordhoff_Noon,run2,0.00391807,0.014321799,0.004373722,0.00787789,0.013722801,0.019664579,0.002570503,0.003735951,0.002147192,0.007106058,0.017344032,1.141110848,0.657875554,1.618934353,0.555189538,0.841717973,0.102449296,3.143472126,Group003Sample0004,nyssa_run2
19_Nordhoff_Dawn,run2,0.007934288,0.03119435,0.007761348,0.009813332,0.028909236,0,0.002701112,0.004806873,0.002090478,0.00737082,0.03289697,1.02604724,0.750669815,2.211526051,0.79089828,1.676844605,0.137891883,5.090703408,Group001Sample0007,nyssa_run2
19_Nordhoff_Dusk,run2,0.006033889,0.017452163,0.005836962,0.007625372,0.011348795,0.02608532,0.004223605,0.005171781,0.003076166,0.013275902,0,0.937843605,2.041242687,2.20299524,0.765465839,0.723467124,0.070967801,3.10731535,Group005Sample0003,nyssa_run2
19_Nordhoff_Noon,run2,0.005518155,0.023775222,0.004317551,0.008005162,0.014142432,0.02308558,0.00417569,0.003487467,0.00296367,0.014289981,0.014730695,0.98571076,1.374040812,2.070780589,0.539345844,0.975083112,0.093211224,3.627631273,Group003Sample0005,nyssa_run2
2_LaSource_Dawn,run1,0.008768954,0.022888255,0.00949584,0.010494453,0.019459805,0,0.005253634,0.006957185,0.003845258,0.0158715,0,0.922483671,1.488131707,1.909230636,0.904843767,1.133989201,0.084435363,4.235274278,Group001Sample0002,nyssa_run1
2_LaSource_Dusk,run1,0.003055011,0.011588895,0.002021935,0.003887175,0.004222468,0,0.002210797,0.002973159,0.001428092,0.004839484,0.002272673,1.077248839,1.258402593,1.664163233,0.520155461,0.379213788,0.071345923,1.863045737,Group005Sample0002,nyssa_run1
2_LaSource_Noon,run1,0.006469712,0.017666208,0.00645605,0.008232897,0.020577504,0.012303785,0.003358439,0.005341749,0.002590254,0.011169213,0.005680021,0.990929527,1.267031741,1.79045429,0.784177141,1.035114141,0.09433736,3.726645976,Group003Sample0002,nyssa_run1
20_Nordhoff_Dawn,run2,0.005429327,0.014275653,0.005263606,0.006966105,0.015439187,0.000419225,0.002410291,0.003936377,0.001423821,0.007491859,0.017307575,0.891967879,1.019538926,1.710043632,0.75560245,0.893777954,0.098845588,3.379176991,Group002Sample0001,nyssa_run2
20_Nordhoff_Dusk,run2,0.007851545,0.027895085,0.009306519,0.01092501,0.029915017,0.030238223,0.004229972,0.006894816,0.002884933,0.010719265,0.020996179,1.19984798,0.896060538,1.691163607,0.851854527,1.503354406,0.105974015,5.365455522,Group005Sample0004,nyssa_run2
20_Nordhoff_Noon,run2,0.005306759,0.025391472,0.004474111,0.007746809,0.011618669,0.019729744,0.003419845,0.00326945,0.002127852,0.008319434,0.026290519,1.099686387,0.793977158,1.646883505,0.577542526,0.911706681,0.095124383,3.682476163,Group003Sample0006,nyssa_run2
21_Nordhoff_Dawn,run2,0.007616047,0.032469555,0.006868334,0.011172677,0.031937832,0.016468199,0.003201793,0.004707655,0.003216878,0.008623055,0.016667818,1.224482661,0.654025917,1.849287614,0.614743784,1.762626601,0.129903189,5.529468228,Group002Sample0002,nyssa_run2
21_Nordhoff_Dusk,run2,0.006434493,0.020561127,0.006700077,0.008656853,0.014350812,0.027904733,0.003153301,0.005438227,0.002406753,0.007679253,0.019681208,0.995577682,1.281904514,1.943192461,0.773962166,0.958685965,0.089533981,3.700278451,Group005Sample0005,nyssa_run2
21_Nordhoff_Noon,run2,0.004799695,0.018849255,0.004395991,0.006429723,0.014884367,0.005895825,0.002933232,0.003735643,0.001768913,0.007080378,0,0.988458462,0.944888371,1.878009475,0.683698337,0.875688189,0.105254148,2.96405512,Group003Sample0007,nyssa_run2
22_Nordhoff_Dawn,run2,0.005614022,0.020329513,0.004764164,0.006603206,0.025820834,0,0.001768773,0.003715278,0.001125704,0.005116488,0.037803304,1.082129302,0.624381411,1.923827053,0.721492515,1.356390499,0.144115679,3.969801526,Group002Sample0003,nyssa_run2
22_Nordhoff_Dusk,run2,0.005772167,0.017880606,0.005859065,0.006616942,0.014234934,0.023452719,0.002421129,0.004815561,0.001987879,0.00764053,0.001036954,0.974431137,1.027883144,1.752316977,0.885464193,0.887383583,0.092214271,3.455690857,Group005Sample0006,nyssa_run2
22_Nordhoff_Noon,run2,0.004302976,0.016118935,0.004112394,0.004845256,0.013003881,0.028520946,0.002852931,0.003067344,0.002082894,0.007670834,0.004257143,1.087979522,0.961745515,1.951336442,0.848746477,0.822605579,0.108254057,2.868455584,Group004Sample0001,nyssa_run2
23_Nordhoff_Dawn,run2,0.006890371,0.026863108,0.006173777,0.011278786,0.023694729,0.010614431,0.002808086,0.003988801,0.001851371,0.006665762,0.048499931,1.165027615,0.677833758,2.115108845,0.54737957,1.408569755,0.117241853,4.629075056,Group002Sample0004,nyssa_run2
23_Nordhoff_Dusk,run2,0.005902685,0.015021762,0.005979871,0.008254035,0.017588509,0.017221498,0.002913244,0.004177924,0.002173076,0.006763899,0,0.855637523,0.916197815,2.19358029,0.724478468,0.982373895,0.100478349,3.577249576,Group005Sample0007,nyssa_run2
23_Nordhoff_Noon,run2,0.007384741,0.024978454,0.006710088,0.007977072,0.029048522,0.02189882,0.003663387,0.005101778,0.002188436,0.008852037,0.033124023,1.152170205,0.928141861,1.892318684,0.841171706,1.49765607,0.119803281,5.245586417,Group004Sample0002,nyssa_run2
24_Nordhoff_Dawn,run2,0.004930101,0.016616346,0.004883623,0.006838904,0.012103666,0.009157613,0.002515319,0.003299835,0.001892278,0.007025273,0.012795371,1.092720898,0.98181549,1.675445527,0.714094349,0.81621881,0.101586873,2.802538798,Group002Sample0005,nyssa_run2
24_Nordhoff_Dusk,run2,0.005538053,0.015066983,0.005667261,0.006770633,0.010167505,0.011306997,0.002968596,0.004564007,0.002240511,0.007866944,0.013769853,0.8065711,1.252785986,2.085449043,0.837035588,0.719069976,0.08089618,2.944722151,Group006Sample0001,nyssa_run2
24_Nordhoff_Noon,run2,0.006257096,0.030133095,0.005388781,0.008808283,0.019882496,0.014193291,0.003017364,0.004824241,0.002625425,0.008304868,0.025360602,1.131895285,0.648537281,1.861412679,0.611785668,1.263130875,0.11818011,4.354464405,Group004Sample0003,nyssa_run2
3_LaSource_Dawn,run1,0.006798914,0.017567587,0.006966456,0.010296348,0.025514544,0.021022237,0.00327248,0.005642557,0.002233319,0.008575866,0.021006794,1.689417847,1.011428207,2.281567074,0.67659485,1.288926971,0.1062257,4.137848569,Group001Sample0003,nyssa_run1
3_LaSource_Dusk,run1,0.004695425,0.012349902,0.002474438,0.004405746,0.004923587,0,0.002158713,0.00301848,0.001534192,0.005111104,0.008863631,1.03708534,1.373787061,2.01685833,0.561638781,0.411345892,0.0717219,1.932264726,Group005Sample0003,nyssa_run1
3_LaSource_Noon,run1,0.004378576,0.012933255,0.004035299,0.006788227,0.008240416,0,0.002534226,0.002820496,0.001521673,0.005978939,0.000810146,0.921875944,1.046859071,1.903378558,0.594455497,0.571057621,0.080413028,2.48041464,Group003Sample0003,nyssa_run1
4_LaSource_Dawn,run1,0.017316123,0.032729719,0.026508215,0.019450575,0.055537558,0.017192212,0.005044905,0.026593739,0.003445922,0.017416195,0.004261115,0.885094141,1.466981339,2.369432378,1.36284993,2.516195206,0.095315918,9.933705264,Group001Sample0004,nyssa_run1
4_LaSource_Dusk,run1,0.003434348,0.015689603,0.002492225,0.004927514,0.008046729,0,0.002106498,0.0027126,0.001326609,0.005322043,0.011900214,1.008718384,1.277089371,1.988901184,0.505777243,0.438945761,0.070618022,2.278901005,Group005Sample0004,nyssa_run1
4_LaSource_Noon,run1,0.005302691,0.015534735,0.004581381,0.008678295,0.015201998,0.004890232,0.00263512,0.00369269,0.001755999,0.00747907,0.021403393,0.984126103,0.916700097,2.280929066,0.5279126,0.820403881,0.093944366,3.304999878,Group003Sample0004,nyssa_run1
41a_Lagoon_Dawn,run2,0.035116378,0.017361634,0.034032908,0.057320154,0.032729248,0.007240239,0.013488472,0.033064765,0.010174144,0.037436179,0.044752238,0.745432212,3.409568155,1.714521578,0.593733712,1.402903242,0.027196454,12.67207727,Group006Sample0002,nyssa_run2
41b_Lagoon_Dawn,run2,0.040954935,0.008924419,0.041256372,0.063546413,0.029523763,0.012619593,0.014718174,0.04235754,0.010904697,0.042576634,0.055050292,0.775528984,5.381097145,1.772656511,0.649232112,1.158733392,0.019463886,14.93387212,Group006Sample0003,nyssa_run2
41c_Lagoon_Dawn,run2,0.033013052,0.018131845,0.034903978,0.038858836,0.0330221,0.020287998,0.014747579,0.034039226,0.010733775,0.034123227,0.005671277,0.81865386,3.405891738,1.627281014,0.898225023,1.449774414,0.031931442,11.53512399,Group006Sample0004,nyssa_run2
41d_Lagoon_Dawn,run2,0.02139214,0.01757024,0.021700653,0.023762527,0.020791571,0.009781003,0.009488033,0.019984947,0.006805267,0.023239818,0.024679855,0.773403272,2.616260338,1.712160365,0.913230018,1.076248185,0.038627316,7.0298935,Group006Sample0005,nyssa_run2
41e_Lagoon_Dawn,run2,0.02303884,0.022724705,0.022951953,0.028080039,0.05228514,0.042815837,0.011130241,0.019407368,0.008507955,0.024940336,0.044042962,1.255128697,1.625483818,1.718587843,0.817376094,2.25588001,0.067144891,9.58202405,Group006Sample0006,nyssa_run2
41f_Lagoon_Dawn,run2,0.01707965,0.016721284,0.016993914,0.018313706,0.018833096,0,0.007880445,0.013957458,0.005451946,0.018353942,0.008028444,0.799537336,2.648196503,1.70430434,0.927934193,0.931744415,0.044076788,5.045491022,Group006Sample0007,nyssa_run2
41g_Lagoon_Noon,run2,0.017474234,0.017191225,0.017703743,0.019559639,0.027467868,0.003731196,0.008619305,0.015748663,0.006501917,0.020174116,0.002512923,0.817583251,2.312703221,1.615117866,0.905116044,1.453679198,0.060463787,6.388046941,Group008Sample0006,nyssa_run2
41h_Lagoon_Noon,run2,0.023216224,0.024071425,0.023708842,0.025667,0.025965338,0,0.011637805,0.020859237,0.008740374,0.033492685,0.02082068,0.792402616,3.579215326,1.690497059,0.92370909,1.326490256,0.0411836,7.840611303,Group008Sample0007,nyssa_run2
41i_Lagoon_Dusk,run2,0.034444531,0.020108335,0.036905891,0.040654106,0.024916055,0.002809831,0.015519433,0.037218672,0.011889207,0.040523481,0.030040931,0.834281265,4.227930622,1.619401025,0.907802289,1.168799623,0.023480491,12.53338432,Group010Sample0006,nyssa_run2
41j_Lagoon_Dusk,run2,0.03602626,0.017006417,0.038663366,0.041202348,0.0329654,0,0.015441199,0.040157504,0.012032847,0.040870777,0.027596005,0.838355681,4.237539168,1.640548124,0.938377747,1.395568505,0.027012161,13.32034901,Group010Sample0007,nyssa_run2
42_Lagoon_Dawn,run2,0.014711756,0.013780207,0.01431815,0.020333082,0.014380849,0.013226294,0.007237876,0.011838291,0.005251588,0.015235737,0,0.803993016,2.523919164,1.65358709,0.704179995,0.856595564,0.043325824,4.948480638,Group007Sample0001,nyssa_run2
42_Lagoon_Dusk,run2,0.014985501,0.016465106,0.015537035,0.01691084,0.018020531,0,0.009774606,0.01297368,0.006657485,0.02749041,0.021127668,0.80324661,2.810961742,1.754790421,0.918761859,0.966779196,0.044990366,5.234904119,Group011Sample0001,nyssa_run2
42_Lagoon_Noon,run2,0.010584616,0.019800309,0.010740807,0.011778369,0.018433228,0.001309284,0.006126629,0.009981637,0.005004475,0.017015309,0.000352633,0.796514222,2.396494988,1.752741944,0.91190952,1.093278304,0.069529376,4.397917588,Group009Sample0001,nyssa_run2
43_Lagoon_Dawn,run2,0.018189319,0.021417618,0.018517377,0.021363551,0.024867667,0.018605821,0.008083721,0.016591757,0.006309402,0.017876335,0.006580715,0.912875506,1.907643541,1.794652991,0.866774302,1.265085642,0.055402817,6.173975674,Group007Sample0002,nyssa_run2
43_Lagoon_Dusk,run2,0.017229676,0.021092471,0.017922712,0.019176591,0.027929374,0.009600084,0.009154804,0.019708412,0.007206704,0.020785493,0.02310859,0.914123359,1.676199736,1.828221542,0.93461408,1.42143649,0.06131824,6.189943793,Group011Sample0002,nyssa_run2
43_Lagoon_Noon,run2,0.010656434,0.016386437,0.010328167,0.01117649,0.014736464,0.002430753,0.005032566,0.009513729,0.004101016,0.0119255,0,1.025481563,1.64069746,1.565673752,0.924097538,0.903844568,0.062523486,3.965196553,Group009Sample0002,nyssa_run2
44_Lagoon_Dawn,run2,0.014887584,0.026542922,0.014849449,0.01864138,0.025143774,0,0.006819563,0.013006545,0.005397864,0.014098244,0,0.841238568,1.327099343,1.828578998,0.796585318,1.40028458,0.070357949,5.545539998,Group007Sample0003,nyssa_run2
44_Lagoon_Dusk,run2,0.015420269,0.013672319,0.016735872,0.017025657,0.022304673,0.004683994,0.008356491,0.014260639,0.005696254,0.019938084,0.03522036,0.859474526,2.422221921,1.790504277,0.98297956,1.001822126,0.048232666,5.103254234,Group011Sample0003,nyssa_run2
44_Lagoon_Noon,run2,0.00949562,0.019742816,0.009539594,0.011720734,0.015396334,0.006320696,0.004580935,0.007676841,0.003427416,0.010941004,0.004419942,0.918851489,1.531592885,1.729711545,0.813907498,0.898783743,0.067509691,3.763953402,Group009Sample0003,nyssa_run2
45_Lagoon_Dawn,run2,0.01643154,0.023319735,0.015018639,0.030713592,0.018611499,0.016492918,0.007329221,0.012583656,0.005453015,0.016422187,0.020415679,0.742388002,1.841187058,2.246949301,0.488989985,1.058172391,0.047091695,5.755381949,Group007Sample0004,nyssa_run2
45_Lagoon_Dusk,run2,0.014700262,0.019150879,0.014651023,0.017178968,0.019682033,0,0.008105889,0.012547338,0.006050125,0.018661379,0.005361234,0.844620497,2.661803963,1.652107034,0.8528465,0.858318769,0.043598089,4.803811178,Group011Sample0004,nyssa_run2
45_Lagoon_Noon,run2,0.010741009,0.02015904,0.011484998,0.013538506,0.017812086,0.00805762,0.006535659,0.00981741,0.004651925,0.016518594,0.00356062,0.948196071,2.057258674,1.642091841,0.848320941,1.003840797,0.058349115,4.670427101,Group009Sample0004,nyssa_run2
46_Lagoon_Dawn,run2,0.014788355,0.016040517,0.013125629,0.025224856,0.015971034,0.003434431,0.005518334,0.010928521,0.004491899,0.01173493,0.002016228,0.781694598,1.70771221,1.971322272,0.520345049,0.899974607,0.047206563,4.926002987,Group007Sample0005,nyssa_run2
46_Lagoon_Dusk,run2,0.013806401,0.01301526,0.013821647,0.015014645,0.01399593,0.021978262,0.007119782,0.011679299,0.005234113,0.016711273,0.02391353,0.791456766,2.855836377,1.721924951,0.920544347,0.699444432,0.040262373,4.060042496,Group011Sample0005,nyssa_run2
46_Lagoon_Noon,run2,0.009989508,0.019909009,0.010420225,0.011720935,0.016967392,0,0.005234123,0.009123541,0.00417841,0.011318724,0,0.92057635,1.633864645,1.79421724,0.889026758,0.933558216,0.065844955,3.86585061,Group009Sample0005,nyssa_run2
47_Lagoon_Dawn,run2,0.01446599,0.038661833,0.014107128,0.019318321,0.025392411,0.014931337,0.007004338,0.01216959,0.005203815,0.014310323,0.003870363,0.889074296,1.196023012,1.864552618,0.73024608,1.529584421,0.076015025,6.065773882,Group007Sample0006,nyssa_run2
47_Lagoon_Dusk,run2,0.014539526,0.016517527,0.015244361,0.017192453,0.021072944,0,0.007483793,0.011963608,0.006176524,0.016783233,0.006149867,0.867682249,1.902866037,1.774634948,0.886689118,0.98501872,0.05003437,5.05069374,Group011Sample0006,nyssa_run2
47_Lagoon_Noon,run2,0.00854487,0.013722238,0.009524374,0.010822669,0.011745288,0,0.004378548,0.008055384,0.003434402,0.010649929,4.49E-05,0.897015527,2.249186779,1.680408906,0.880039264,0.692520472,0.053333201,3.522701478,Group009Sample0006,nyssa_run2
48_Lagoon_Dawn,run2,0.012643242,0.022547948,0.012520801,0.016117294,0.016050077,0.009490953,0.006021014,0.01037358,0.004618994,0.013035969,0,0.878397214,1.405031948,1.822403231,0.776854991,0.991281659,0.058628646,4.743600874,Group007Sample0007,nyssa_run2
48_Lagoon_Dusk,run2,0.014928116,0.023347762,0.015031778,0.016968168,0.024336457,0,0.007585571,0.012237985,0.005631902,0.01626852,0.00767802,0.852421731,1.648858372,1.804252413,0.885881053,1.157237181,0.05802662,5.373922323,Group011Sample0007,nyssa_run2
48_Lagoon_Noon,run2,0.009924897,0.022576265,0.010941689,0.011679959,0.017064569,0,0.005431043,0.00870272,0.00440018,0.016150005,0,0.883818906,2.031450379,1.658420664,0.93679179,1.015179133,0.065984899,4.304751957,Group009Sample0007,nyssa_run2
49_Lagoon_Dawn,run2,0.01294501,0.024039298,0.013445567,0.015505262,0.02525741,0.003063726,0.005660781,0.011765911,0.004571056,0.012907976,0,0.959850996,1.367657973,1.833970191,0.867161543,1.389784153,0.078494058,5.223199073,Group008Sample0001,nyssa_run2
49_Lagoon_Dusk,run2,0.013632833,0.022304394,0.014067532,0.015892029,0.02020911,0.003639229,0.007318152,0.012384396,0.005710245,0.015940245,0.023140041,0.850819072,1.821682382,1.743469483,0.885194247,1.071717213,0.057209293,4.882070568,Group012Sample0001,nyssa_run2
49_Lagoon_Noon,run2,0.008515368,0.011158898,0.008950053,0.009751723,0.009734351,0,0.005347965,0.007627824,0.003501761,0.012545818,0,0.989893336,2.101417497,1.784152742,0.917791953,0.595260692,0.047401481,3.222175185,Group010Sample0001,nyssa_run2
5_LaSource_Dawn,run1,0.012562296,0.026979429,0.012660008,0.015509271,0.025266438,0.002466326,0.005944883,0.0105706,0.004324195,0.015326355,0.007063812,0.973680653,1.298390777,1.868345133,0.816286488,1.357225286,0.074880137,5.616587855,Group001Sample0005,nyssa_run1
5_LaSource_Dusk,run1,0.006123726,0.013726994,0.004428053,0.007704588,0.010285054,0.01759369,0.002745552,0.005318796,0.001957796,0.006826533,0.006966839,0.882131965,1.326064661,1.626372056,0.574729336,0.618312565,0.066965178,3.026107698,Group005Sample0005,nyssa_run1
5_LaSource_Noon,run1,0.00847314,0.007889996,0.008403905,0.010487947,0.008791295,0,0.003604708,0.007648029,0.00263309,0.009715036,0,0.945131564,2.193678414,1.675502354,0.80129172,0.532960588,0.044486263,3.492999366,Group003Sample0005,nyssa_run1
50_Lagoon_Dawn,run2,0.012353476,0.019202172,0.011863733,0.015835465,0.015570172,0.033320099,0.005719837,0.010195457,0.004442747,0.011615696,0.004816851,0.899480154,1.786662189,1.785824841,0.749187574,0.912353472,0.05518892,4.604921865,Group008Sample0002,nyssa_run2
50_Lagoon_Dusk,run2,0.014332241,0.020959257,0.014903948,0.016132062,0.020029129,0.023329579,0.009406937,0.013256263,0.006722035,0.023133365,0.021873822,0.927309678,2.578628782,1.713047476,0.923871232,0.997479996,0.048467061,5.001679372,Group012Sample0002,nyssa_run2
50_Lagoon_Noon,run2,0.008253293,0.012263015,0.008040459,0.00977215,0.012665175,0,0.004133001,0.006519672,0.002974336,0.010078671,0,0.846421102,2.37775814,1.824891041,0.822793266,0.581207211,0.049092929,3.187197103,Group010Sample0002,nyssa_run2
51_Lagoon_Dawn,run2,0.014193328,0.021420918,0.013128676,0.026137618,0.020096644,0.021739668,0.005731429,0.011348008,0.004706037,0.013604368,0,0.812867474,1.643693073,2.130484163,0.502290439,1.116005132,0.054398361,5.457053318,Group008Sample0003,nyssa_run2
51_Lagoon_Dusk,run2,0.012626128,0.020759418,0.013042768,0.016050084,0.018358449,0.018521395,0.007089718,0.010570099,0.004861172,0.015060197,0.028124657,0.910245597,1.711383516,1.824458819,0.812629266,0.980215719,0.05581521,4.577097229,Group012Sample0003,nyssa_run2
