UniqueID,fDOM_Run,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,dieselBandII,Petroleum,Lignin,BIX,HIX,FI,M_to_C,JP5_empirical,JP5_normalized,Diesel_Chen,sample,run_name
1_LaSource_Dawn,run1,0.007169075,0.017592718,0.007101557,0.009447705,0.016311492,0.003404799,0.003875524,0.005549791,0.002683004,0.013229003,0,0.90477144,1.367745923,1.943046411,0.751670039,0.955351445,0.084524715,3.770337664,Group001Sample0001,nyssa_run1
1_LaSource_Dusk,run1,0.003536212,0.010245624,0.002435793,0.004760801,0.006018669,0,0.002235914,0.002886912,0.001323677,0.005298308,0,1.005714183,1.698522674,2.166793687,0.511635023,0.42282462,0.068877295,2.200945366,Group005Sample0001,nyssa_run1
1_LaSource_Noon,run1,0.005707616,0.021170965,0.006642329,0.008523782,0.015857484,0.020579229,0.003067633,0.004734448,0.002398446,0.009901334,0.014748421,1.113028574,1.148663983,1.926698403,0.779270177,0.928299901,0.086462878,3.918349281,Group003Sample0001,nyssa_run1
10_LaSource_Dawn,run1,0.008275311,0.022895206,0.008002035,0.013845178,0.026080555,0,0.004282011,0.006038642,0.003372126,0.012784962,0,1.173815207,1.109259895,2.082214512,0.577965507,1.313472329,0.092769462,4.783005516,Group002Sample0005,nyssa_run1
10_LaSource_Dusk,run1,0.006018607,0.020122715,0.004061758,0.007581499,0.013378074,0,0.002719703,0.00412631,0.001529355,0.006209625,0,0.840192424,1.011752576,1.834897866,0.535745932,0.850572994,0.09408525,3.256004018,Group006Sample0005,nyssa_run1
10_LaSource_Noon,run1,0.004846861,0.01287792,0.004145736,0.006591493,0.008310726,0.004678961,0.002539769,0.003509049,0.001898603,0.007610806,0.011630939,1.088245525,1.190952948,2.012415843,0.628952555,0.50656016,0.065732557,2.701138585,Group004Sample0005,nyssa_run1
11_LaSource_Dawn,run1,0.006865515,0.015394338,0.006130102,0.011127508,0.015957085,0.022275078,0.003036769,0.004761749,0.001985635,0.008849679,0,1.328010919,1.138741952,1.806299266,0.550896208,0.934460814,0.082049042,3.794918425,Group002Sample0006,nyssa_run1
11_LaSource_Dusk,run1,0.005625747,0.016359501,0.004817531,0.007097447,0.011806471,0,0.002467452,0.004471311,0.001860027,0.005833592,0,1.029641064,1.423883932,1.76892514,0.678769581,0.638438377,0.077518559,2.603578563,Group006Sample0006,nyssa_run1
11_LaSource_Noon,run1,0.004927715,0.012996281,0.004411582,0.006802143,0.006299376,0.011647333,0.00238887,0.003033316,0.001951612,0.006444133,0.023814541,1.126404504,1.253824049,2.611433569,0.648557635,0.483192472,0.065057905,2.425942909,Group004Sample0006,nyssa_run1
12_LaSource_Dawn,run1,0.006837715,0.016766634,0.00671326,0.008870713,0.017144926,0,0.003962699,0.005477963,0.002770057,0.009043204,0,1.162743071,1.24726463,1.675171685,0.756789258,0.871289961,0.081298418,3.516086869,Group002Sample0007,nyssa_run1
12_LaSource_Dusk,run1,0.006489342,0.011853194,0.005610754,0.00752078,0.008919952,0,0.003706298,0.00565132,0.002513849,0.007122352,0.00370067,0.836826485,1.846382114,1.753794712,0.746033603,0.556816526,0.05955833,2.541018828,Group006Sample0007,nyssa_run1
12_LaSource_Noon,run1,0.006859178,0.026773792,0.006137466,0.008632602,0.020483935,0,0.003734361,0.005145013,0.002341868,0.008891026,0.01994665,1.23267475,0.799345475,1.862479823,0.710963628,1.209094178,0.109331961,4.239018692,Group004Sample0007,nyssa_run1
13_Nordhoff_Dawn,run2,0.006736979,0.018700357,0.006890789,0.008380895,0.022828367,0,0.004233157,0.004850033,0.002388747,0.010932937,0.010869068,1.095375947,1.152188624,1.899933722,0.822202007,1.228292487,0.097318657,4.916537692,Group001Sample0001,nyssa_run2
13_Nordhoff_Dusk,run2,0.008722583,0.020495658,0.009633971,0.010976158,0.022143013,0,0.004947223,0.006845179,0.003505256,0.011907719,0.020025532,1.236796376,1.010148464,1.789135953,0.877717896,1.290136732,0.09272168,5.006763501,Group004Sample0004,nyssa_run2
13_Nordhoff_Noon,run2,0.005859741,0.021380998,0.005750337,0.007641865,0.01768924,0.010966877,0.002229501,0.004268161,0.001547677,0.006514226,0.032359606,1.073486241,0.891137478,1.723825355,0.752478224,1.038641284,0.109303143,3.569845917,Group002Sample0006,nyssa_run2
14_Nordhoff_Dawn,run2,0.00804233,0.028301573,0.007606373,0.011770418,0.045501859,0.008347277,0.003663412,0.006110208,0.002613877,0.010058598,0.054030427,1.842708196,0.739673554,2.201919083,0.646227932,2.175035435,0.136959119,6.298081853,Group001Sample0002,nyssa_run2
14_Nordhoff_Dusk,run2,0.008125399,0.024691277,0.00806282,0.009187027,0.027126668,0.015204665,0.004386188,0.006786007,0.00286336,0.011021387,0.01205993,1.188670768,0.901425518,1.627403132,0.877631088,1.543168451,0.12274099,4.802327027,Group004Sample0005,nyssa_run2
14_Nordhoff_Noon,run2,0.004637913,0.020732797,0.004611945,0.005666399,0.012313641,0.017520017,0.002452268,0.003168877,0.001718263,0.006798603,0.029713523,1.040619508,0.882165197,1.976551264,0.813911149,0.878939826,0.110260388,3.014631745,Group002Sample0007,nyssa_run2
15_Nordhoff_Dawn,run2,0.005976308,0.017737251,0.005267093,0.008147388,0.014351084,0.000223868,0.002521343,0.003694257,0.001803512,0.007248836,0.04161912,1.080710129,0.961524527,2.133836651,0.646476284,0.961174091,0.10463589,3.503887123,Group001Sample0003,nyssa_run2
15_Nordhoff_Dusk,run2,0.00592519,0.015734762,0.006176951,0.00880011,0.014597891,0.015917644,0.003390874,0.004665539,0.002825927,0.008387342,0.01319751,1.29412854,1.160685202,1.697721253,0.701917409,0.895932695,0.087283707,3.494140305,Group004Sample0006,nyssa_run2
