Date,TempInSitu,Lux
2023-10-24T17:00:00Z,27.15,4953.6
2023-10-24T17:01:00Z,27.15,6049.28
2023-10-24T17:02:00Z,27.15,7452.16
2023-10-24T17:03:00Z,27.15,6039.04
2023-10-24T17:04:00Z,27.2,9072.64
2023-10-24T17:05:00Z,27.2,7470.08
2023-10-24T17:06:00Z,27.2,8465.92
2023-10-24T17:07:00Z,27.15,9694.72
2023-10-24T17:08:00Z,27.2,7321.6
2023-10-24T17:09:00Z,27.24,4560.64
2023-10-24T17:10:00Z,27.15,6976
2023-10-24T17:11:00Z,27.15,8363.52
2023-10-24T17:12:00Z,27.15,6712.32
2023-10-24T17:13:00Z,27.15,4963.84
2023-10-24T17:14:00Z,27.15,5355.52
2023-10-24T17:15:00Z,27.15,5250.56
2023-10-24T17:16:00Z,27.11,4857.6
2023-10-24T17:17:00Z,27.11,4829.44
2023-10-24T17:18:00Z,27.11,5680.64
2023-10-24T17:19:00Z,27.15,6504.96
2023-10-24T17:20:00Z,27.11,5043.2
2023-10-24T17:21:00Z,27.11,5288.96
2023-10-24T17:22:00Z,27.11,5603.84
2023-10-24T17:23:00Z,27.07,4271.36
2023-10-24T17:24:00Z,27.11,5534.72
2023-10-24T17:25:00Z,27.07,5777.92
2023-10-24T17:26:00Z,27.07,4636.16
2023-10-24T17:27:00Z,27.02,5639.68
2023-10-24T17:28:00Z,27.07,4609.28
2023-10-24T17:29:00Z,27.07,4057.6
2023-10-24T17:30:00Z,27.07,4433.92
2023-10-24T17:31:00Z,27.02,3257.6
2023-10-24T17:32:00Z,27.02,3971.84
2023-10-24T17:33:00Z,27.02,3083.52
2023-10-24T17:34:00Z,27.02,2705.92
2023-10-24T17:35:00Z,26.98,2807.04
2023-10-24T17:36:00Z,26.98,2630.4
2023-10-24T17:37:00Z,27.02,2496
2023-10-24T17:38:00Z,26.94,1850.88
2023-10-24T17:39:00Z,26.98,2433.92
2023-10-24T17:40:00Z,26.98,2142.72
2023-10-24T17:41:00Z,26.98,1980.16
2023-10-24T17:42:00Z,26.98,1877.12
2023-10-24T17:43:00Z,26.94,1778.56
2023-10-24T17:44:00Z,26.98,1481.6
2023-10-24T17:45:00Z,26.98,1299.52
2023-10-24T17:46:00Z,26.98,1223.68
2023-10-24T17:47:00Z,26.98,1141.12
2023-10-24T17:48:00Z,26.94,863.68
2023-10-24T17:49:00Z,26.94,907.52
2023-10-24T17:50:00Z,26.94,878.08
2023-10-24T17:51:00Z,26.94,786.88
2023-10-24T17:52:00Z,26.94,701.12
2023-10-24T17:53:00Z,26.94,682.88
2023-10-24T17:54:00Z,26.98,598.08
2023-10-24T17:55:00Z,26.98,586.08
2023-10-24T17:56:00Z,26.94,450.72
2023-10-24T17:57:00Z,26.94,404.16
2023-10-24T17:58:00Z,26.94,394.72
2023-10-24T17:59:00Z,26.94,284.8
2023-10-24T18:00:00Z,26.94,302.08
2023-10-24T18:01:00Z,26.94,232.08
2023-10-24T18:02:00Z,26.9,241.52
2023-10-24T18:03:00Z,26.98,205.12
2023-10-24T18:04:00Z,26.94,175.6
2023-10-24T18:05:00Z,26.94,166.08
2023-10-24T18:06:00Z,26.94,124.52
2023-10-24T18:07:00Z,26.94,113.32
2023-10-24T18:08:00Z,26.94,85.64
2023-10-24T18:09:00Z,26.94,58.38
2023-10-24T18:10:00Z,26.94,54.46
2023-10-24T18:11:00Z,26.94,51.44
2023-10-24T18:12:00Z,26.9,38.89
2023-10-24T18:13:00Z,26.94,26.53
2023-10-24T18:14:00Z,26.9,24.8
2023-10-24T18:15:00Z,26.9,17.67
2023-10-24T18:16:00Z,26.9,2.15
2023-10-24T18:17:00Z,26.94,9.69
2023-10-24T18:18:00Z,26.94,7.11
2023-10-24T18:19:00Z,26.94,5.81
2023-10-24T18:20:00Z,26.94,4.3
2023-10-24T18:21:00Z,26.94,3.44
2023-10-24T18:22:00Z,26.9,2.8
2023-10-24T18:23:00Z,26.9,1.72
2023-10-24T18:24:00Z,26.94,1.29
2023-10-24T18:25:00Z,26.94,1.07
2023-10-24T18:26:00Z,26.9,0.64
2023-10-24T18:27:00Z,26.94,0.43
2023-10-24T18:28:00Z,26.98,0.43
2023-10-24T18:29:00Z,26.94,0.21
2023-10-24T18:30:00Z,26.94,0.21
2023-10-24T18:31:00Z,26.94,0
2023-10-24T18:32:00Z,26.94,0
2023-10-24T18:33:00Z,26.9,0
2023-10-24T18:34:00Z,26.94,0
2023-10-24T18:35:00Z,26.94,0
2023-10-24T18:36:00Z,26.94,0
2023-10-24T18:37:00Z,26.9,0
2023-10-24T18:38:00Z,26.94,0
2023-10-24T18:39:00Z,26.94,0
2023-10-24T18:40:00Z,26.94,0
2023-10-24T18:41:00Z,26.9,0
2023-10-24T18:42:00Z,26.94,0
2023-10-24T18:43:00Z,26.9,0
2023-10-24T18:44:00Z,26.94,0
2023-10-24T18:45:00Z,26.94,0
2023-10-24T18:46:00Z,26.94,0
2023-10-24T18:47:00Z,26.9,0
2023-10-24T18:48:00Z,26.94,0
2023-10-24T18:49:00Z,26.9,0
2023-10-24T18:50:00Z,26.9,0
2023-10-24T18:51:00Z,26.9,0
2023-10-24T18:52:00Z,26.9,0
2023-10-24T18:53:00Z,26.94,0
2023-10-24T18:54:00Z,26.9,0
2023-10-24T18:55:00Z,26.94,0
2023-10-24T18:56:00Z,26.9,0
2023-10-24T18:57:00Z,26.9,0
2023-10-24T18:58:00Z,26.9,0
2023-10-24T18:59:00Z,26.9,0
2023-10-24T19:00:00Z,26.9,0
2023-10-24T19:01:00Z,26.9,0
2023-10-24T19:02:00Z,26.94,0
2023-10-24T19:03:00Z,26.94,0
2023-10-24T19:04:00Z,26.94,0
2023-10-24T19:05:00Z,26.9,0
2023-10-24T19:06:00Z,26.9,0
2023-10-24T19:07:00Z,26.9,0
2023-10-24T19:08:00Z,26.9,0
2023-10-24T19:09:00Z,26.94,0
2023-10-24T19:10:00Z,26.94,0
2023-10-24T19:11:00Z,26.94,0
2023-10-24T19:12:00Z,26.94,0
2023-10-24T19:13:00Z,26.9,0
2023-10-24T19:14:00Z,26.94,0
2023-10-24T19:15:00Z,26.94,0
2023-10-24T19:16:00Z,26.9,0
2023-10-24T19:17:00Z,26.94,0
2023-10-24T19:18:00Z,26.94,0
2023-10-24T19:19:00Z,26.9,0
2023-10-24T19:20:00Z,26.9,0
2023-10-24T19:21:00Z,26.9,0
2023-10-24T19:22:00Z,26.9,0
2023-10-24T19:23:00Z,26.9,0
2023-10-24T19:24:00Z,26.9,0
2023-10-24T19:25:00Z,26.9,0
2023-10-24T19:26:00Z,26.9,0
2023-10-24T19:27:00Z,26.9,0
2023-10-24T19:28:00Z,26.9,0
2023-10-24T19:29:00Z,26.94,0
2023-10-24T19:30:00Z,26.94,0
2023-10-24T19:31:00Z,26.94,0
2023-10-24T19:32:00Z,26.94,0
2023-10-24T19:33:00Z,26.94,0
2023-10-24T19:34:00Z,26.94,0
2023-10-24T19:35:00Z,26.94,0
2023-10-24T19:36:00Z,26.9,0
2023-10-24T19:37:00Z,26.94,0
2023-10-24T19:38:00Z,26.94,0
2023-10-24T19:39:00Z,26.94,0
2023-10-24T19:40:00Z,26.94,0
2023-10-24T19:41:00Z,26.94,0
2023-10-24T19:42:00Z,26.94,0
2023-10-24T19:43:00Z,26.94,0
2023-10-24T19:44:00Z,26.94,0
2023-10-24T19:45:00Z,26.98,0
2023-10-24T19:46:00Z,26.98,0
2023-10-24T19:47:00Z,26.98,0
2023-10-24T19:48:00Z,26.98,0
2023-10-24T19:49:00Z,26.94,0
2023-10-24T19:50:00Z,26.98,0
2023-10-24T19:51:00Z,26.94,0
2023-10-24T19:52:00Z,26.94,0
2023-10-24T19:53:00Z,26.98,0
2023-10-24T19:54:00Z,26.94,0
2023-10-24T19:55:00Z,26.9,0
2023-10-24T19:56:00Z,26.98,0
2023-10-24T19:57:00Z,26.94,0
2023-10-24T19:58:00Z,26.94,0
2023-10-24T19:59:00Z,26.9,0
2023-10-24T20:00:00Z,26.94,0
2023-10-24T20:01:00Z,26.94,0
2023-10-24T20:02:00Z,26.94,0
2023-10-24T20:03:00Z,26.98,0
2023-10-24T20:04:00Z,26.98,0
2023-10-24T20:05:00Z,26.94,0
2023-10-24T20:06:00Z,26.9,0
2023-10-24T20:07:00Z,26.9,0
2023-10-24T20:08:00Z,26.94,0
2023-10-24T20:09:00Z,26.9,0
