Date,TempInSitu,Lux
2023-10-25T14:30:00Z,27.93,31621.12
2023-10-25T14:31:00Z,27.93,31815.68
2023-10-25T14:32:00Z,27.97,31631.36
2023-10-25T14:33:00Z,27.88,29450.24
2023-10-25T14:34:00Z,27.93,29624.32
2023-10-25T14:35:00Z,27.88,30218.24
2023-10-25T14:36:00Z,27.93,30689.28
2023-10-25T14:37:00Z,27.93,31897.6
2023-10-25T14:38:00Z,27.97,31221.76
2023-10-25T14:39:00Z,27.93,31856.64
2023-10-25T14:40:00Z,27.93,32532.48
2023-10-25T14:41:00Z,27.93,31395.84
2023-10-25T14:42:00Z,27.97,30935.04
2023-10-25T14:43:00Z,27.88,30740.48
2023-10-25T14:44:00Z,27.88,30494.72
2023-10-25T14:45:00Z,27.97,30054.4
2023-10-25T14:46:00Z,27.88,28938.24
2023-10-25T14:47:00Z,27.88,28784.64
2023-10-25T14:48:00Z,27.88,28579.84
2023-10-25T14:49:00Z,27.93,26808.32
2023-10-25T14:50:00Z,27.88,28108.8
2023-10-25T14:51:00Z,27.84,26675.2
2023-10-25T14:52:00Z,27.88,26091.52
2023-10-25T14:53:00Z,27.84,26224.64
2023-10-25T14:54:00Z,27.84,26920.96
2023-10-25T14:55:00Z,27.88,26675.2
2023-10-25T14:56:00Z,27.84,28467.2
2023-10-25T14:57:00Z,27.88,26982.4
2023-10-25T14:58:00Z,27.84,25856
2023-10-25T14:59:00Z,27.88,27525.12
2023-10-25T15:00:00Z,27.84,26060.8
2023-10-25T15:01:00Z,27.88,25958.4
2023-10-25T15:02:00Z,27.84,24627.2
2023-10-25T15:03:00Z,27.84,22886.4
2023-10-25T15:04:00Z,27.8,23132.16
2023-10-25T15:05:00Z,27.75,22947.84
2023-10-25T15:06:00Z,27.8,23091.2
2023-10-25T15:07:00Z,27.8,23224.32
2023-10-25T15:08:00Z,27.84,23388.16
2023-10-25T15:09:00Z,27.8,24002.56
2023-10-25T15:10:00Z,27.8,22599.68
2023-10-25T15:11:00Z,27.75,22824.96
2023-10-25T15:12:00Z,27.8,23347.2
2023-10-25T15:13:00Z,27.8,23234.56
2023-10-25T15:14:00Z,27.8,22282.24
2023-10-25T15:15:00Z,27.8,24094.72
2023-10-25T15:16:00Z,27.8,24453.12
2023-10-25T15:17:00Z,27.8,24371.2
2023-10-25T15:18:00Z,27.8,24227.84
2023-10-25T15:19:00Z,27.8,24832
2023-10-25T15:20:00Z,27.84,23818.24
2023-10-25T15:21:00Z,27.8,24248.32
2023-10-25T15:22:00Z,27.84,25077.76
2023-10-25T15:23:00Z,27.88,26378.24
2023-10-25T15:24:00Z,27.84,26152.96
2023-10-25T15:25:00Z,27.88,27217.92
2023-10-25T15:26:00Z,27.84,26910.72
2023-10-25T15:27:00Z,27.84,25477.12
2023-10-25T15:28:00Z,27.84,24555.52
2023-10-25T15:29:00Z,27.84,25118.72
2023-10-25T15:30:00Z,27.93,24616.96
2023-10-25T15:31:00Z,27.84,23848.96
2023-10-25T15:32:00Z,27.84,24330.24
2023-10-25T15:33:00Z,27.8,24094.72
2023-10-25T15:34:00Z,27.84,22927.36
2023-10-25T15:35:00Z,27.88,28385.28
2023-10-25T15:36:00Z,27.88,27207.68
2023-10-25T15:37:00Z,27.88,25845.76
2023-10-25T15:38:00Z,27.88,25671.68
2023-10-25T15:39:00Z,27.88,24156.16
2023-10-25T15:40:00Z,27.88,24791.04
2023-10-25T15:41:00Z,27.88,23746.56
2023-10-25T15:42:00Z,27.84,23306.24
2023-10-25T15:43:00Z,27.93,23869.44
2023-10-25T15:44:00Z,27.84,23050.24
2023-10-25T15:45:00Z,27.84,23377.92
2023-10-25T15:46:00Z,27.84,23111.68
2023-10-25T15:47:00Z,27.84,22323.2
2023-10-25T15:48:00Z,27.8,20305.92
2023-10-25T15:49:00Z,27.75,21299.2
2023-10-25T15:50:00Z,27.8,18826.24
2023-10-25T15:51:00Z,27.75,20751.36
2023-10-25T15:52:00Z,27.71,19112.96
2023-10-25T15:53:00Z,27.75,20039.68
2023-10-25T15:54:00Z,27.71,19824.64
2023-10-25T15:55:00Z,27.71,19655.68
2023-10-25T15:56:00Z,27.75,19220.48
2023-10-25T15:57:00Z,27.75,24647.68
2023-10-25T15:58:00Z,27.84,19686.4
2023-10-25T15:59:00Z,27.71,19322.88
2023-10-25T16:00:00Z,27.71,18042.88
2023-10-25T16:01:00Z,27.67,16619.52
2023-10-25T16:02:00Z,27.71,15836.16
2023-10-25T16:03:00Z,27.67,15313.92
2023-10-25T16:04:00Z,27.58,13864.96
2023-10-25T16:05:00Z,27.58,13306.88
2023-10-25T16:06:00Z,27.63,12119.04
2023-10-25T16:07:00Z,27.58,10071.04
2023-10-25T16:08:00Z,27.54,10731.52
2023-10-25T16:09:00Z,27.54,10209.28
2023-10-25T16:10:00Z,27.54,10311.68
2023-10-25T16:11:00Z,27.54,12323.84
2023-10-25T16:12:00Z,27.54,12467.2
2023-10-25T16:13:00Z,27.63,15887.36
2023-10-25T16:14:00Z,27.58,12846.08
2023-10-25T16:15:00Z,27.58,14059.52
2023-10-25T16:16:00Z,27.58,14868.48
2023-10-25T16:17:00Z,27.58,15549.44
2023-10-25T16:18:00Z,27.63,15585.28
2023-10-25T16:19:00Z,27.63,16650.24
2023-10-25T16:20:00Z,27.67,17054.72
2023-10-25T16:21:00Z,27.67,17131.52
2023-10-25T16:22:00Z,27.63,16896
2023-10-25T16:23:00Z,27.63,16916.48
2023-10-25T16:24:00Z,27.67,16399.36
2023-10-25T16:25:00Z,27.58,15646.72
2023-10-25T16:26:00Z,27.63,14955.52
2023-10-25T16:27:00Z,27.63,14310.4
2023-10-25T16:28:00Z,27.63,13245.44
2023-10-25T16:29:00Z,27.63,12113.92
2023-10-25T16:30:00Z,27.54,11852.8
2023-10-25T16:31:00Z,27.54,10634.24
2023-10-25T16:32:00Z,27.54,10124.8
2023-10-25T16:33:00Z,27.5,9768.96
2023-10-25T16:34:00Z,27.5,9239.04
2023-10-25T16:35:00Z,27.45,9292.8
2023-10-25T16:36:00Z,27.45,9472
2023-10-25T16:37:00Z,27.45,9479.68
2023-10-25T16:38:00Z,27.5,9664
2023-10-25T16:39:00Z,27.5,9292.8
2023-10-25T16:40:00Z,27.5,9059.84
2023-10-25T16:41:00Z,27.45,8965.12
2023-10-25T16:42:00Z,27.5,8145.92
2023-10-25T16:43:00Z,27.45,8174.08
2023-10-25T16:44:00Z,27.45,7457.28
2023-10-25T16:45:00Z,27.41,7142.4
2023-10-25T16:46:00Z,27.41,6773.76
2023-10-25T16:47:00Z,27.41,6433.28
2023-10-25T16:48:00Z,27.41,6241.28
2023-10-25T16:49:00Z,27.41,6021.12
2023-10-25T16:50:00Z,27.37,5949.44
2023-10-25T16:51:00Z,27.37,5890.56
2023-10-25T16:52:00Z,27.41,5667.84
2023-10-25T16:53:00Z,27.37,5419.52
2023-10-25T16:54:00Z,27.37,5360.64
2023-10-25T16:55:00Z,27.37,5166.08
2023-10-25T16:56:00Z,27.37,4929.28
2023-10-25T16:57:00Z,27.37,4963.84
2023-10-25T16:58:00Z,27.32,5018.88
2023-10-25T16:59:00Z,27.32,4935.68
2023-10-25T17:00:00Z,27.37,5086.72
2023-10-25T17:01:00Z,27.32,5100.8
2023-10-25T17:02:00Z,27.32,4925.44
2023-10-25T17:03:00Z,27.32,4733.44
2023-10-25T17:04:00Z,27.37,4743.68
