Site,CowTagID,Date,TempInSitu,SeepCode,Seep_Reef,Tide,Day_Night,Salinity_In_Field,SamplingTime,TempInLab,mV,Salinity_In_Lab,TA,TrisCalDate
Lagoon,41,2023-10-29T05:15:00Z,25.61,a,Seep,Low,Dawn,14.3,5:15:00,24.55,-55.2,NA,NA,20231008
Lagoon,42,2023-10-29T05:45:00Z,27.12,NA,Reef,Low,Dawn,36.9,5:45:00,24.96,-68.2,NA,NA,20231008
Lagoon,43,2023-10-29T05:45:00Z,27.3,NA,Reef,Low,Dawn,37.1,5:45:00,25,-70,NA,NA,20231008
Lagoon,44,2023-10-29T05:45:00Z,26.98,NA,Reef,Low,Dawn,37.1,5:45:00,25.008,-70.1,NA,NA,20231008
Lagoon,45,2023-10-29T05:45:00Z,26.646,NA,Reef,Low,Dawn,37.1,5:45:00,24.89,-70.4,NA,NA,20231008
Lagoon,46,2023-10-29T05:45:00Z,26.94,NA,Reef,Low,Dawn,37.1,5:45:00,25.03,-70.4,NA,NA,20231008
Lagoon,47,2023-10-29T05:45:00Z,26.598,NA,Reef,Low,Dawn,37.1,5:45:00,24.95,-70.5,NA,NA,20231008
Lagoon,48,2023-10-29T05:45:00Z,26.72,NA,Reef,Low,Dawn,37.1,5:45:00,24.84,-70.7,NA,NA,20231008
Lagoon,49,2023-10-29T05:45:00Z,26.88,NA,Reef,Low,Dawn,37.1,5:45:00,24.85,-70.8,NA,NA,20231008
Lagoon,50,2023-10-29T05:45:00Z,26.573,NA,Reef,Low,Dawn,37.1,5:45:00,24.85,-70.9,NA,NA,20231008
Lagoon,51,2023-10-29T05:45:00Z,26.68,NA,Reef,Low,Dawn,37.2,5:45:00,24.9,-71.5,NA,NA,20231008
Lagoon,52,2023-10-29T05:45:00Z,26.75,NA,Reef,Low,Dawn,37.2,5:45:00,24.9,-71.5,NA,NA,20231008
Lagoon,53,2023-10-29T05:45:00Z,26.72,NA,Reef,Low,Dawn,37.2,5:45:00,24.95,-71.1,NA,NA,20231008
Lagoon,41,2023-10-29T06:15:00Z,25.222,b,Seep,Low,Dawn,1.7,6:15:00,24.61,-53.7,NA,NA,20231008
Lagoon,41,2023-10-29T07:00:00Z,25.805,c,Seep,Low,Dawn,15.4,7:00:00,25.22,-61,NA,NA,20231008
Lagoon,41,2023-10-29T08:30:00Z,27.567,d,Seep,Low,Dawn,29.7,8:30:00,28.19,-69.2,NA,NA,20231008
Lagoon,41,2023-10-29T10:15:00Z,28.357,e,Seep,Mid,Dawn,33.8,10:15:00,27.663,-73.3,NA,NA,20231008
Lagoon,41,2023-10-29T11:45:00Z,27.961,f,Seep,High,Noon,35.3,11:45:00,28.002,-75,NA,NA,20231008
Lagoon,42,2023-10-29T11:45:00Z,27.83,NA,Reef,High,Noon,37.9,11:45:00,27.54,-79.3,NA,NA,20231008
Lagoon,43,2023-10-29T11:45:00Z,28.01,NA,Reef,High,Noon,37.9,11:45:00,27.47,-79.8,NA,NA,20231008
Lagoon,44,2023-10-29T11:45:00Z,27.69,NA,Reef,High,Noon,37.9,11:45:00,27.27,-79.7,NA,NA,20231008
Lagoon,45,2023-10-29T11:45:00Z,27.604,NA,Reef,High,Noon,37.9,11:45:00,27.63,-80,NA,NA,20231008
Lagoon,46,2023-10-29T11:45:00Z,27.71,NA,Reef,High,Noon,37.9,11:45:00,28.02,-79.4,NA,NA,20231008
Lagoon,47,2023-10-29T11:45:00Z,27.53,NA,Reef,High,Noon,37.9,11:45:00,27.77,-79.3,NA,NA,20231008
