#,Date-Time (French Polynesia Standard Time),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,01/07/2024 06:00:00,24.79,8.25,,,,
2,01/07/2024 06:01:00,24.84,14.56,,,,
3,01/07/2024 06:02:00,24.92,17.84,,,,
4,01/07/2024 06:03:00,24.88,16.54,,,,
5,01/07/2024 06:04:00,24.97,80.36,,,,
6,01/07/2024 06:05:00,24.97,81.96,,,,
7,01/07/2024 06:06:00,24.97,86.32,,,,
8,01/07/2024 06:07:00,24.92,85.44,,,,
9,01/07/2024 06:08:00,25.01,112.64,,,,
10,01/07/2024 06:09:00,24.97,121.40,,,,
11,01/07/2024 06:10:00,24.97,20.14,,,,
12,01/07/2024 06:11:00,25.01,19.71,,,,
13,01/07/2024 06:12:00,25.05,19.68,,,,
14,01/07/2024 06:13:00,25.01,20.14,,,,
15,01/07/2024 06:14:00,25.05,22.09,,,,
16,01/07/2024 06:15:00,25.01,22.74,,,,
17,01/07/2024 06:16:00,25.05,23.66,,,,
18,01/07/2024 06:17:00,25.09,24.53,,,,
19,01/07/2024 06:18:00,25.09,169.36,,,,
20,01/07/2024 06:19:00,25.14,24.53,,,,
21,01/07/2024 06:20:00,25.14,23.17,,,,
22,01/07/2024 06:21:00,25.14,23.58,,,,
23,01/07/2024 06:22:00,25.18,28.05,,,,
24,01/07/2024 06:23:00,25.14,29.78,,,,
25,01/07/2024 06:24:00,25.18,31.08,,,,
26,01/07/2024 06:25:00,25.18,31.57,,,,
27,01/07/2024 06:26:00,25.18,33.30,,,,
28,01/07/2024 06:27:00,25.22,34.60,,,,
29,01/07/2024 06:28:00,25.22,36.77,,,,
30,01/07/2024 06:29:00,25.22,30.11,,,,
31,01/07/2024 06:30:00,25.18,30.11,,,,
32,01/07/2024 06:31:00,25.22,31.40,,,,
33,01/07/2024 06:32:00,25.22,31.40,,,,
34,01/07/2024 06:33:00,25.22,32.33,,,,
35,01/07/2024 06:34:00,25.22,34.49,,,,
36,01/07/2024 06:35:00,25.22,35.36,,,,
37,01/07/2024 06:36:00,25.27,36.22,,,,
38,01/07/2024 06:37:00,25.22,41.04,,,,
39,01/07/2024 06:38:00,25.22,48.52,,,,
40,01/07/2024 06:39:00,25.22,54.26,,,,
41,01/07/2024 06:40:00,25.22,59.50,,,,
42,01/07/2024 06:41:00,25.27,63.90,,,,
43,01/07/2024 06:42:00,25.27,65.52,,,,
44,01/07/2024 06:43:00,25.27,68.18,,,,
45,01/07/2024 06:44:00,25.31,71.20,,,,
46,01/07/2024 06:45:00,25.31,71.70,,,,
47,01/07/2024 06:46:00,25.31,71.70,,,,
48,01/07/2024 06:47:00,25.31,72.56,,,,
49,01/07/2024 06:48:00,25.31,68.66,,,,
50,01/07/2024 06:49:00,25.27,68.22,,,,
51,01/07/2024 06:50:00,25.31,64.76,,,,
52,01/07/2024 06:51:00,25.35,59.50,,,,
53,01/07/2024 06:52:00,25.35,52.96,,,,
54,01/07/2024 06:53:00,25.35,56.42,,,,
55,01/07/2024 06:54:00,25.35,56.86,,,,
56,01/07/2024 06:55:00,25.39,58.58,,,,
57,01/07/2024 06:56:00,25.39,63.90,,,,
58,01/07/2024 06:57:00,25.39,63.84,,,,
59,01/07/2024 06:58:00,25.39,66.50,,,,
60,01/07/2024 06:59:00,25.39,67.30,,,,
61,01/07/2024 07:00:00,25.39,69.52,,,,
62,01/07/2024 07:01:00,25.44,73.42,,,,
63,01/07/2024 07:02:00,25.44,76.90,,,,
64,01/07/2024 07:03:00,25.48,80.46,,,,
65,01/07/2024 07:04:00,25.44,83.92,,,,
66,01/07/2024 07:05:00,25.48,88.24,,,,
67,01/07/2024 07:06:00,25.48,89.24,,,,
68,01/07/2024 07:07:00,25.52,92.68,,,,
69,01/07/2024 07:08:00,25.52,96.16,,,,
70,01/07/2024 07:09:00,25.52,97.88,,,,
71,01/07/2024 07:10:00,25.61,100.48,,,,
72,01/07/2024 07:11:00,25.57,101.36,,,,
73,01/07/2024 07:12:00,25.61,99.64,,,,
74,01/07/2024 07:13:00,25.61,104.84,,,,
75,01/07/2024 07:14:00,25.61,109.28,,,,
76,01/07/2024 07:15:00,25.61,109.28,,,,
77,01/07/2024 07:16:00,25.61,110.12,,,,
78,01/07/2024 07:17:00,25.69,110.12,,,,
79,01/07/2024 07:18:00,25.65,110.12,,,,
80,01/07/2024 07:19:00,25.69,111.88,,,,
81,01/07/2024 07:20:00,25.69,113.60,,,,
82,01/07/2024 07:21:00,25.69,110.12,,,,
83,01/07/2024 07:22:00,25.69,111.00,,,,
84,01/07/2024 07:23:00,25.74,108.40,,,,
85,01/07/2024 07:24:00,25.74,104.92,,,,
86,01/07/2024 07:25:00,25.78,97.88,,,,
87,01/07/2024 07:26:00,25.82,92.68,,,,
88,01/07/2024 07:27:00,25.87,87.40,,,,
89,01/07/2024 07:28:00,25.82,86.64,,,,
90,01/07/2024 07:29:00,25.87,83.16,,,,
91,01/07/2024 07:30:00,25.87,82.28,,,,
92,01/07/2024 07:31:00,25.91,78.94,,,,
93,01/07/2024 07:32:00,25.91,70.18,,,,
94,01/07/2024 07:33:00,25.91,64.00,,,,
95,01/07/2024 07:34:00,25.95,64.06,,,,
96,01/07/2024 07:35:00,25.95,61.46,,,,
97,01/07/2024 07:36:00,25.99,55.72,,,,
98,01/07/2024 07:37:00,26.04,57.50,,,,
99,01/07/2024 07:38:00,26.04,58.36,,,,
100,01/07/2024 07:39:00,26.04,51.22,,,,
101,01/07/2024 07:40:00,26.08,49.48,,,,
102,01/07/2024 07:41:00,26.04,59.66,,,,
103,01/07/2024 07:42:00,26.12,71.14,,,,
104,01/07/2024 07:43:00,26.12,78.08,,,,
105,01/07/2024 07:44:00,26.17,83.28,,,,
106,01/07/2024 07:45:00,26.17,80.68,,,,
107,01/07/2024 07:46:00,26.21,243.68,,,,
108,01/07/2024 07:47:00,26.30,132.76,,,,
109,01/07/2024 07:48:00,26.38,153.68,,,,
110,01/07/2024 07:49:00,26.47,137.84,,,,
111,01/07/2024 07:50:00,26.55,10.91,,,,
112,01/07/2024 07:51:00,26.60,32.70,,,,
113,01/07/2024 07:52:00,26.68,18.52,,,,
114,01/07/2024 07:53:00,26.72,17.92,,,,
115,01/07/2024 07:54:00,26.77,17.00,,,,
116,01/07/2024 07:55:00,26.85,28.32,,,,
117,01/07/2024 07:56:00,26.90,13.29,,,,
118,01/07/2024 07:57:00,26.94,8.90,,,,
119,01/07/2024 07:58:00,26.94,9.55,,,,
120,01/07/2024 07:59:00,26.94,9.34,,,,
121,01/07/2024 08:00:00,27.02,8.74,,,,
122,01/07/2024 08:01:00,27.07,6.95,,,,
123,01/07/2024 08:02:00,27.02,6.33,,,,
124,01/07/2024 08:03:00,27.11,7.63,,,,
125,01/07/2024 08:04:00,27.15,6.98,,,,
126,01/07/2024 08:05:00,27.15,10.26,,,,
127,01/07/2024 08:06:00,27.07,20.68,,,,
128,01/07/2024 08:07:00,27.11,10.45,,,,
129,01/07/2024 08:08:00,27.15,8.47,,,,
130,01/07/2024 08:09:00,27.15,6.95,,,,
131,01/07/2024 08:10:00,27.24,6.52,,,,
132,01/07/2024 08:11:00,27.28,7.82,,,,
133,01/07/2024 08:12:00,27.32,107.44,,,,
134,01/07/2024 08:13:00,27.58,103.96,,,,
135,01/07/2024 08:14:00,27.75,102.12,,,,
136,01/07/2024 08:15:00,28.01,103.08,,,,
137,01/07/2024 08:16:00,28.31,4040.96,,,,
138,01/07/2024 08:17:00,30.84,37785.60,,,,
139,01/07/2024 08:18:00,33.25,38492.16,,,,
140,01/07/2024 08:19:00,33.72,5450.24,,,,
141,01/07/2024 08:20:00,34.45,87.08,,,,
142,01/07/2024 08:21:00,32.82,19.79,,,,
143,01/07/2024 08:22:00,31.70,19.79,,,,
144,01/07/2024 08:23:00,30.84,19.57,,,,
145,01/07/2024 08:24:00,30.03,19.57,,,,
146,01/07/2024 08:25:00,29.30,19.57,,,,
147,01/07/2024 08:26:00,28.65,19.36,,,,
148,01/07/2024 08:27:00,28.10,19.98,,,,
149,01/07/2024 08:28:00,27.54,19.76,,,,
150,01/07/2024 08:29:00,27.02,19.76,,,,
151,01/07/2024 08:30:00,26.55,19.54,,,,
152,01/07/2024 08:31:00,26.25,19.54,,,,
153,01/07/2024 08:32:00,25.87,19.57,,,,
154,01/07/2024 08:33:00,25.57,19.33,,,,
155,01/07/2024 08:34:00,25.31,19.11,,,,
156,01/07/2024 08:35:00,25.05,18.90,,,,
157,01/07/2024 08:36:00,24.84,19.11,,,,
158,01/07/2024 08:37:00,24.62,18.90,,,,
159,01/07/2024 08:38:00,24.45,18.90,,,,
160,01/07/2024 08:39:00,24.28,18.90,,,,
161,01/07/2024 08:40:00,24.15,18.68,,,,
162,01/07/2024 08:41:00,24.02,18.46,,,,
163,01/07/2024 08:42:00,23.94,18.03,,,,
164,01/07/2024 08:43:00,23.89,18.03,,,,
165,01/07/2024 08:44:00,23.76,18.03,,,,
166,01/07/2024 08:45:00,23.68,18.25,,,,
167,01/07/2024 08:46:00,23.64,18.46,,,,
168,01/07/2024 08:47:00,23.55,18.46,,,,
169,01/07/2024 08:48:00,23.51,16.30,,,,
170,01/07/2024 08:49:00,23.46,16.08,,,,
171,01/07/2024 08:50:00,23.42,16.30,,,,
172,01/07/2024 08:51:00,23.34,16.30,,,,
173,01/07/2024 08:52:00,23.29,16.51,,,,
174,01/07/2024 08:53:00,23.25,16.95,,,,
175,01/07/2024 08:54:00,23.21,17.16,,,,
176,01/07/2024 08:55:00,23.16,17.38,,,,
177,01/07/2024 08:56:00,23.12,16.73,,,,
178,01/07/2024 08:57:00,23.08,16.95,,,,
179,01/07/2024 08:58:00,23.03,17.16,,,,
180,01/07/2024 08:59:00,23.03,16.30,,,,
181,01/07/2024 09:00:00,22.99,16.51,,,,
182,01/07/2024 09:01:00,22.99,16.73,,,,
183,01/07/2024 09:02:00,22.99,16.73,,,,
184,01/07/2024 09:03:00,22.99,16.95,,,,
185,01/07/2024 09:04:00,22.95,16.95,,,,
186,01/07/2024 09:05:00,22.95,16.95,,,,
187,01/07/2024 09:06:00,22.91,16.73,,,,
188,01/07/2024 09:07:00,22.91,16.30,,,,
189,01/07/2024 09:08:00,22.91,15.86,,,,
190,01/07/2024 09:09:00,22.91,15.86,,,,
191,01/07/2024 09:10:00,22.86,16.30,,,,
192,01/07/2024 09:11:00,22.86,16.95,,,,
193,01/07/2024 09:12:00,22.91,16.08,,,,
194,01/07/2024 09:13:00,22.86,16.30,,,,
195,01/07/2024 09:14:00,22.86,16.08,,,,
196,01/07/2024 09:15:00,22.91,16.08,,,,
197,01/07/2024 09:16:00,22.91,16.08,,,,
198,01/07/2024 09:17:00,22.91,16.30,,,,
199,01/07/2024 09:18:00,22.95,16.95,,,,
200,01/07/2024 09:19:00,22.99,17.38,,,,
201,01/07/2024 09:20:00,22.99,17.38,,,,
202,01/07/2024 09:21:00,22.99,16.95,,,,
203,01/07/2024 09:22:00,22.95,16.51,,,,
204,01/07/2024 09:23:00,22.95,16.51,,,,
205,01/07/2024 09:24:00,22.91,16.95,,,,
206,01/07/2024 09:25:00,22.91,17.16,,,,
207,01/07/2024 09:26:00,22.91,17.16,,,,
208,01/07/2024 09:27:00,22.86,17.16,,,,
209,01/07/2024 09:28:00,22.86,17.38,,,,
210,01/07/2024 09:29:00,22.86,16.95,,,,
211,01/07/2024 09:30:00,22.82,16.73,,,,
212,01/07/2024 09:31:00,22.86,16.51,,,,
213,01/07/2024 09:32:00,22.86,16.30,,,,
214,01/07/2024 09:33:00,22.91,16.95,,,,
215,01/07/2024 09:34:00,22.95,16.95,,,,
216,01/07/2024 09:35:00,22.95,16.95,,,,
217,01/07/2024 09:36:00,22.95,16.95,,,,
218,01/07/2024 09:37:00,22.99,16.95,,,,
219,01/07/2024 09:38:00,22.95,16.30,,,,
220,01/07/2024 09:39:00,22.95,16.51,,,,
221,01/07/2024 09:40:00,22.95,16.73,,,,
222,01/07/2024 09:41:00,22.95,16.51,,,,
223,01/07/2024 09:42:00,22.95,16.73,,,,
224,01/07/2024 09:43:00,22.95,17.16,,,,
225,01/07/2024 09:44:00,22.95,17.16,,,,
226,01/07/2024 09:45:00,22.95,16.73,,,,
227,01/07/2024 09:46:00,22.91,16.73,,,,
228,01/07/2024 09:47:00,22.91,16.95,,,,
229,01/07/2024 09:48:00,22.95,17.16,,,,
230,01/07/2024 09:49:00,22.86,16.51,,,,
231,01/07/2024 09:50:00,22.86,16.08,,,,
232,01/07/2024 09:51:00,22.82,16.08,,,,
233,01/07/2024 09:52:00,22.78,16.08,,,,
234,01/07/2024 09:53:00,22.78,16.30,,,,
235,01/07/2024 09:54:00,22.78,16.08,,,,
236,01/07/2024 09:55:00,22.78,16.08,,,,
237,01/07/2024 09:56:00,22.86,16.08,,,,
238,01/07/2024 09:57:00,22.86,15.86,,,,
239,01/07/2024 09:58:00,22.86,16.30,,,,
240,01/07/2024 09:59:00,22.86,16.30,,,,
241,01/07/2024 10:00:00,22.91,16.73,,,,
242,01/07/2024 10:01:00,22.91,16.73,,,,
243,01/07/2024 10:02:00,22.91,16.95,,,,
244,01/07/2024 10:03:00,22.91,16.73,,,,
245,01/07/2024 10:04:00,22.91,16.30,,,,
246,01/07/2024 10:05:00,22.86,16.08,,,,
247,01/07/2024 10:06:00,22.82,16.08,,,,
248,01/07/2024 10:07:00,22.82,16.51,,,,
249,01/07/2024 10:08:00,22.82,16.08,,,,
250,01/07/2024 10:09:00,22.82,16.08,,,,
251,01/07/2024 10:10:00,22.82,15.86,,,,
252,01/07/2024 10:11:00,22.82,16.73,,,,
253,01/07/2024 10:12:00,22.82,16.30,,,,
254,01/07/2024 10:13:00,22.86,16.08,,,,
255,01/07/2024 10:14:00,22.78,16.08,,,,
256,01/07/2024 10:15:00,22.78,16.08,,,,
257,01/07/2024 10:16:00,22.78,16.08,,,,
258,01/07/2024 10:17:00,22.78,16.08,,,,
259,01/07/2024 10:18:00,22.78,16.08,,,,
260,01/07/2024 10:19:00,22.73,16.08,,,,
261,01/07/2024 10:20:00,22.78,15.86,,,,
262,01/07/2024 10:21:00,22.78,15.86,,,,
263,01/07/2024 10:22:00,22.82,15.86,,,,
264,01/07/2024 10:23:00,22.82,15.65,,,,
265,01/07/2024 10:24:00,22.91,15.86,,,,
266,01/07/2024 10:25:00,22.91,15.86,,,,
267,01/07/2024 10:26:00,22.86,16.30,,,,
268,01/07/2024 10:27:00,22.86,13.91,,,,
269,01/07/2024 10:28:00,22.86,16.51,,,,
270,01/07/2024 10:29:00,22.86,16.08,,,,
271,01/07/2024 10:30:00,22.82,16.30,,,,
272,01/07/2024 10:31:00,22.78,16.51,,,,
273,01/07/2024 10:32:00,22.82,16.51,,,,
274,01/07/2024 10:33:00,22.82,16.51,,,,
275,01/07/2024 10:34:00,22.82,16.08,,,,
276,01/07/2024 10:35:00,22.86,16.73,,,,
277,01/07/2024 10:36:00,22.86,16.73,,,,
278,01/07/2024 10:37:00,22.82,16.51,,,,
279,01/07/2024 10:38:00,22.82,16.51,,,,
280,01/07/2024 10:39:00,22.78,16.95,,,,
281,01/07/2024 10:40:00,22.82,16.95,,,,
282,01/07/2024 10:41:00,22.82,16.73,,,,
283,01/07/2024 10:42:00,22.82,16.73,,,,
284,01/07/2024 10:43:00,22.86,16.95,,,,
285,01/07/2024 10:44:00,22.86,16.73,,,,
286,01/07/2024 10:45:00,22.86,16.95,,,,
287,01/07/2024 10:46:00,22.86,16.73,,,,
288,01/07/2024 10:47:00,22.86,16.30,,,,
289,01/07/2024 10:48:00,22.86,16.30,,,,
290,01/07/2024 10:49:00,22.86,16.95,,,,
291,01/07/2024 10:50:00,22.86,15.86,,,,
292,01/07/2024 10:51:00,22.86,16.51,,,,
293,01/07/2024 10:52:00,22.86,18.25,,,,
294,01/07/2024 10:53:00,22.82,18.92,,,,
295,01/07/2024 10:54:00,22.86,18.49,,,,
296,01/07/2024 10:55:00,22.82,18.49,,,,
297,01/07/2024 10:56:00,22.86,18.49,,,,
298,01/07/2024 10:57:00,22.91,18.68,,,,
299,01/07/2024 10:58:00,22.95,18.68,,,,
300,01/07/2024 10:59:00,22.91,18.49,,,,
301,01/07/2024 11:00:00,22.99,18.46,,,,
302,01/07/2024 11:01:00,22.95,17.81,,,,
