#,Date-Time (French Polynesia Standard Time),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,02/11/2024 14:00:00,22.99,132.12
2,02/11/2024 14:01:00,22.95,132.92
3,02/11/2024 14:02:00,22.95,132.12
4,02/11/2024 14:03:00,22.99,133.80
5,02/11/2024 14:04:00,22.95,133.80
6,02/11/2024 14:05:00,22.95,132.92
7,02/11/2024 14:06:00,22.99,132.92
8,02/11/2024 14:07:00,22.99,133.80
9,02/11/2024 14:08:00,22.99,132.12
10,02/11/2024 14:09:00,22.99,132.12
11,02/11/2024 14:10:00,22.99,132.12
12,02/11/2024 14:11:00,22.99,132.12
13,02/11/2024 14:12:00,23.03,133.04
14,02/11/2024 14:13:00,23.03,132.92
15,02/11/2024 14:14:00,22.99,132.12
16,02/11/2024 14:15:00,23.03,134.68
17,02/11/2024 14:16:00,22.99,133.04
18,02/11/2024 14:17:00,22.99,133.04
19,02/11/2024 14:18:00,23.03,133.04
20,02/11/2024 14:19:00,23.03,133.04
21,02/11/2024 14:20:00,23.03,133.04
22,02/11/2024 14:21:00,23.03,133.04
23,02/11/2024 14:22:00,23.03,132.12
24,02/11/2024 14:23:00,23.03,132.12
25,02/11/2024 14:24:00,23.03,132.12
26,02/11/2024 14:25:00,23.03,132.92
27,02/11/2024 14:26:00,23.03,132.92
28,02/11/2024 14:27:00,22.99,133.80
29,02/11/2024 14:28:00,22.99,132.92
30,02/11/2024 14:29:00,22.99,133.80
31,02/11/2024 14:30:00,22.99,132.12
32,02/11/2024 14:31:00,22.99,132.92
33,02/11/2024 14:32:00,22.91,132.92
34,02/11/2024 14:33:00,22.99,132.92
35,02/11/2024 14:34:00,22.95,132.92
36,02/11/2024 14:35:00,22.99,132.04
37,02/11/2024 14:36:00,22.99,131.16
38,02/11/2024 14:37:00,22.99,132.04
39,02/11/2024 14:38:00,23.03,132.04
40,02/11/2024 14:39:00,22.99,132.04
41,02/11/2024 14:40:00,23.03,132.04
42,02/11/2024 14:41:00,23.03,131.16
43,02/11/2024 14:42:00,22.99,132.04
44,02/11/2024 14:43:00,22.99,132.04
45,02/11/2024 14:44:00,23.03,132.92
46,02/11/2024 14:45:00,22.99,132.92
47,02/11/2024 14:46:00,22.99,132.04
48,02/11/2024 14:47:00,23.03,132.04
